trial	context	image.fname	r	start_idx	match_lum
0	plain	stimuli/sub7/matching/0_plain_1.29	1.290000	0.758923	0.438923
1	light	stimuli/sub7/matching/1_light_0.19	0.190000	0.570540	0.086540
2	plain	stimuli/sub7/matching/2_plain_1.29	1.290000	0.210471	0.516471
3	dark	stimuli/sub7/matching/3_dark_0.11	0.110000	0.940407	0.028407
4	plain	stimuli/sub7/matching/4_plain_1.50	1.500000	0.174638	0.604638
5	light	stimuli/sub7/matching/5_light_1.67	1.670000	0.377312	0.681312
6	dark	stimuli/sub7/matching/6_dark_1.67	1.670000	0.468828	0.426828
7	dark	stimuli/sub7/matching/7_dark_0.11	0.110000	0.889345	0.041345
8	light	stimuli/sub7/matching/8_light_0.19	0.190000	0.469632	0.069632
9	plain	stimuli/sub7/matching/9_plain_0.63	0.630000	0.763095	0.193095
10	plain	stimuli/sub7/matching/10_plain_1.50	1.500000	0.050399	0.514399
11	dark	stimuli/sub7/matching/11_dark_0.46	0.460000	0.433903	0.129903
12	light	stimuli/sub7/matching/12_light_1.05	1.050000	0.764217	0.298217
13	dark	stimuli/sub7/matching/13_dark_1.05	1.050000	0.128071	0.302071
14	light	stimuli/sub7/matching/14_light_0.63	0.630000	0.235434	0.169434
15	light	stimuli/sub7/matching/15_light_1.67	1.670000	0.803521	0.463521
16	plain	stimuli/sub7/matching/16_plain_1.29	1.290000	0.320763	0.436763
17	light	stimuli/sub7/matching/17_light_0.11	0.110000	0.649503	0.049503
18	plain	stimuli/sub7/matching/18_plain_0.46	0.460000	0.396839	0.160839
19	plain	stimuli/sub7/matching/19_plain_1.67	1.670000	0.887598	0.551598
20	light	stimuli/sub7/matching/20_light_0.82	0.820000	0.266772	0.262772
21	plain	stimuli/sub7/matching/21_plain_1.29	1.290000	0.218110	0.460110
22	light	stimuli/sub7/matching/22_light_0.82	0.820000	0.559111	0.253111
23	plain	stimuli/sub7/matching/23_plain_0.82	0.820000	0.527527	0.299527
24	light	stimuli/sub7/matching/24_light_0.63	0.630000	0.947445	0.255445
25	light	stimuli/sub7/matching/25_light_0.46	0.460000	0.367971	0.139971
26	light	stimuli/sub7/matching/26_light_0.19	0.190000	0.161516	0.069516
27	light	stimuli/sub7/matching/27_light_0.46	0.460000	0.854876	0.146876
28	plain	stimuli/sub7/matching/28_plain_0.11	0.110000	0.640947	0.026947
29	light	stimuli/sub7/matching/29_light_1.05	1.050000	0.171363	0.317363
30	dark	stimuli/sub7/matching/30_dark_0.19	0.190000	0.470136	0.042136
31	plain	stimuli/sub7/matching/31_plain_0.11	0.110000	0.796901	0.034901
32	plain	stimuli/sub7/matching/32_plain_0.46	0.460000	0.806290	0.168290
33	light	stimuli/sub7/matching/33_light_1.05	1.050000	0.647604	0.309604
34	light	stimuli/sub7/matching/34_light_0.11	0.110000	0.840450	0.066450
35	plain	stimuli/sub7/matching/35_plain_1.67	1.670000	0.462890	0.488890
36	light	stimuli/sub7/matching/36_light_1.67	1.670000	0.291017	0.477017
37	light	stimuli/sub7/matching/37_light_1.50	1.500000	0.357638	0.379638
38	light	stimuli/sub7/matching/38_light_0.63	0.630000	0.596941	0.136941
39	plain	stimuli/sub7/matching/39_plain_1.05	1.050000	0.930511	0.390511
40	light	stimuli/sub7/matching/40_light_0.82	0.820000	0.594842	0.296842
41	light	stimuli/sub7/matching/41_light_0.31	0.310000	0.602827	0.080827
42	dark	stimuli/sub7/matching/42_dark_0.63	0.630000	0.293309	0.167309
43	light	stimuli/sub7/matching/43_light_1.29	1.290000	0.124318	0.368318
44	plain	stimuli/sub7/matching/44_plain_0.82	0.820000	0.419520	0.309520
45	light	stimuli/sub7/matching/45_light_1.50	1.500000	0.523715	0.437715
46	plain	stimuli/sub7/matching/46_plain_0.82	0.820000	0.934380	0.332380
47	light	stimuli/sub7/matching/47_light_1.67	1.670000	0.017639	0.489639
48	plain	stimuli/sub7/matching/48_plain_0.19	0.190000	0.057824	0.069824
49	dark	stimuli/sub7/matching/49_dark_0.19	0.190000	0.805280	0.059280
50	light	stimuli/sub7/matching/50_light_0.11	0.110000	0.984235	0.064235
51	light	stimuli/sub7/matching/51_light_0.46	0.460000	0.105279	0.135279
52	light	stimuli/sub7/matching/52_light_0.19	0.190000	0.086366	0.080366
53	dark	stimuli/sub7/matching/53_dark_0.46	0.460000	0.459641	0.147641
54	plain	stimuli/sub7/matching/54_plain_0.19	0.190000	0.829853	0.061853
55	dark	stimuli/sub7/matching/55_dark_1.50	1.500000	0.562145	0.388145
56	plain	stimuli/sub7/matching/56_plain_1.05	1.050000	0.968443	0.368443
57	dark	stimuli/sub7/matching/57_dark_0.19	0.190000	0.164674	0.052674
58	dark	stimuli/sub7/matching/58_dark_0.63	0.630000	0.210116	0.128116
59	plain	stimuli/sub7/matching/59_plain_1.67	1.670000	0.518823	0.638823
60	dark	stimuli/sub7/matching/60_dark_0.11	0.110000	0.075837	0.039837
61	light	stimuli/sub7/matching/61_light_1.05	1.050000	0.163767	0.263767
62	plain	stimuli/sub7/matching/62_plain_0.63	0.630000	0.975907	0.260000
63	light	stimuli/sub7/matching/63_light_1.50	1.500000	0.165594	0.365594
64	plain	stimuli/sub7/matching/64_plain_0.31	0.310000	0.531214	0.123214
65	dark	stimuli/sub7/matching/65_dark_0.46	0.460000	0.115152	0.113152
66	dark	stimuli/sub7/matching/66_dark_1.50	1.500000	0.706485	0.446485
67	light	stimuli/sub7/matching/67_light_0.63	0.630000	0.348452	0.302452
68	plain	stimuli/sub7/matching/68_plain_0.11	0.110000	0.604166	0.042166
