trial	context	image.fname	r	start_idx	match_lum
0	plain	stimuliSR/sub5/matching/0_plain_1.67	1.670000	0.662418	0.612418
1	light	stimuliSR/sub5/matching/1_light_1.50	1.500000	0.091680	0.355680
2	light	stimuliSR/sub5/matching/2_light_1.67	1.670000	0.913408	0.401408
3	light	stimuliSR/sub5/matching/3_light_0.31	0.310000	0.073253	0.163253
4	plain	stimuliSR/sub5/matching/4_plain_1.67	1.670000	0.292677	0.644677
5	light	stimuliSR/sub5/matching/5_light_0.82	0.820000	0.897578	0.163578
6	plain	stimuliSR/sub5/matching/6_plain_0.31	0.310000	0.014995	0.090995
7	light	stimuliSR/sub5/matching/7_light_1.50	1.500000	0.549887	0.345887
8	dark	stimuliSR/sub5/matching/8_dark_0.82	0.820000	0.103422	0.105422
9	plain	stimuliSR/sub5/matching/9_plain_0.31	0.310000	0.455643	0.087643
10	plain	stimuliSR/sub5/matching/10_plain_0.19	0.190000	0.666831	0.052000
11	light	stimuliSR/sub5/matching/11_light_0.46	0.460000	0.017550	0.187550
12	light	stimuliSR/sub5/matching/12_light_1.29	1.290000	0.712081	0.314081
13	light	stimuliSR/sub5/matching/13_light_1.50	1.500000	0.660752	0.354752
14	light	stimuliSR/sub5/matching/14_light_0.46	0.460000	0.292966	0.178966
15	light	stimuliSR/sub5/matching/15_light_0.31	0.310000	0.504405	0.164405
16	plain	stimuliSR/sub5/matching/16_plain_1.67	1.670000	0.700556	0.610556
17	light	stimuliSR/sub5/matching/17_light_0.63	0.630000	0.951608	0.213608
18	light	stimuliSR/sub5/matching/18_light_1.50	1.500000	0.483853	0.339853
19	light	stimuliSR/sub5/matching/19_light_1.67	1.670000	0.475952	0.343952
20	dark	stimuliSR/sub5/matching/20_dark_0.11	0.110000	0.580237	0.032237
21	dark	stimuliSR/sub5/matching/21_dark_1.05	1.050000	0.481365	0.227365
22	dark	stimuliSR/sub5/matching/22_dark_0.63	0.630000	0.618139	0.126139
23	light	stimuliSR/sub5/matching/23_light_0.63	0.630000	0.290703	0.174703
24	dark	stimuliSR/sub5/matching/24_dark_0.31	0.310000	0.107769	0.059769
25	plain	stimuliSR/sub5/matching/25_plain_0.46	0.460000	0.194631	0.176631
26	dark	stimuliSR/sub5/matching/26_dark_1.50	1.500000	0.808744	0.290744
27	dark	stimuliSR/sub5/matching/27_dark_1.05	1.050000	0.352125	0.210125
28	dark	stimuliSR/sub5/matching/28_dark_0.46	0.460000	0.275055	0.071055
