lum,slope,obs,background
25.0,0.017926156732749755,sub1,variegated
32.0,0.032174922331350615,sub1,variegated
42.0,0.006071014194540314,sub1,variegated
54.0,0.008507710192682186,sub1,variegated
67.0,0.0029424738979637994,sub1,variegated
83.0,0.0017819668308453978,sub1,variegated
100.0,0.01880593872404558,sub1,variegated
116.5,0.0030330034691412144,sub1,variegated
131.0,0.004986912662019634,sub1,variegated
25.0,0.012754516681517029,sub1,homogeneous
32.0,0.008661254500635939,sub1,homogeneous
42.0,0.011405337541923735,sub1,homogeneous
54.0,0.005659448327126952,sub1,homogeneous
67.0,0.001854455838853539,sub1,homogeneous
83.0,0.01941952962104054,sub1,homogeneous
100.0,0.004205954247405906,sub1,homogeneous
116.5,0.0039569934319501,sub1,homogeneous
131.0,0.005644055151253565,sub1,homogeneous
25.0,0.011209584588277853,sub2,variegated
32.0,0.010853443711666338,sub2,variegated
42.0,0.0062966375220647255,sub2,variegated
54.0,0.006065035478159962,sub2,variegated
67.0,0.02578719997378898,sub2,variegated
83.0,0.004835129570207024,sub2,variegated
100.0,0.005966836916173925,sub2,variegated
116.5,0.004522631028023991,sub2,variegated
131.0,0.005330004909847336,sub2,variegated
25.0,0.007201307244425891,sub2,homogeneous
32.0,0.012052468286876918,sub2,homogeneous
42.0,0.009129926818865453,sub2,homogeneous
54.0,0.0030841478083820143,sub2,homogeneous
67.0,0.004768717353359787,sub2,homogeneous
83.0,0.014749661526951334,sub2,homogeneous
100.0,0.005851024005809953,sub2,homogeneous
116.5,0.005520727338686438,sub2,homogeneous
131.0,0.007843760486873899,sub2,homogeneous
25.0,0.027744184930854652,sub3,variegated
32.0,0.0060188961793122865,sub3,variegated
42.0,0.012075182777429425,sub3,variegated
54.0,0.012063704352619553,sub3,variegated
67.0,0.01103531812021862,sub3,variegated
83.0,0.0087981377489329,sub3,variegated
100.0,0.009597795356534995,sub3,variegated
116.5,0.0009780257168079528,sub3,variegated
131.0,0.002793058250358064,sub3,variegated
25.0,0.017416227989519178,sub3,homogeneous
32.0,0.011757210277675713,sub3,homogeneous
42.0,0.009498690368254814,sub3,homogeneous
54.0,0.007700347590657404,sub3,homogeneous
67.0,0.01315252620594816,sub3,homogeneous
83.0,0.005388138658087034,sub3,homogeneous
100.0,0.001490337051095629,sub3,homogeneous
116.5,0.00992023548312871,sub3,homogeneous
131.0,0.0020082907782862556,sub3,homogeneous
25.0,0.055133103368578074,sub4,variegated
32.0,0.012600967906848962,sub4,variegated
42.0,0.00863501384602526,sub4,variegated
54.0,0.003153731644848612,sub4,variegated
67.0,0.006976768985530425,sub4,variegated
83.0,0.006027091860111775,sub4,variegated
100.0,0.006200264365648384,sub4,variegated
116.5,0.005058361340665109,sub4,variegated
131.0,0.0016522857087365357,sub4,variegated
25.0,0.020527445978225124,sub4,homogeneous
32.0,0.0030493116832666124,sub4,homogeneous
42.0,0.010593042122932323,sub4,homogeneous
54.0,0.00865698079999927,sub4,homogeneous
67.0,0.0019466135020309186,sub4,homogeneous
83.0,0.012472570236804389,sub4,homogeneous
100.0,0.01333301595369564,sub4,homogeneous
116.5,0.0013821638764031803,sub4,homogeneous
131.0,0.0020098591832160098,sub4,homogeneous
25.0,0.03921741073952642,sub5,variegated
32.0,0.011227291959833656,sub5,variegated
42.0,0.017974698937090108,sub5,variegated
54.0,0.009461314623136083,sub5,variegated
67.0,0.008981765903985053,sub5,variegated
83.0,0.00488676944560398,sub5,variegated
100.0,0.007056722901376163,sub5,variegated
116.5,0.005470250590783386,sub5,variegated
131.0,0.004917595981913131,sub5,variegated
25.0,0.022650242968810613,sub5,homogeneous
32.0,0.018098840293679433,sub5,homogeneous
42.0,0.0024620825560335937,sub5,homogeneous
54.0,0.0029096575485584816,sub5,homogeneous
67.0,0.0030903613037005307,sub5,homogeneous
83.0,0.009735924072990744,sub5,homogeneous
100.0,0.0024436557387233424,sub5,homogeneous
116.5,0.0076017622916037956,sub5,homogeneous
131.0,0.010870650776068516,sub5,homogeneous
25.0,0.01935816413631873,sub6,variegated
32.0,0.030759819629474286,sub6,variegated
42.0,0.00987884245298234,sub6,variegated
54.0,0.00869619076121439,sub6,variegated
67.0,0.010549273344550105,sub6,variegated
83.0,0.003959472110396452,sub6,variegated
100.0,0.007452523896138333,sub6,variegated
116.5,0.0038940522691078383,sub6,variegated
131.0,0.0016888986043338643,sub6,variegated
25.0,0.014845611013728603,sub6,homogeneous
32.0,0.006901188061111785,sub6,homogeneous
42.0,0.01157778936252718,sub6,homogeneous
54.0,0.004774096387333611,sub6,homogeneous
67.0,0.007397584596427713,sub6,homogeneous
83.0,0.012638057768266847,sub6,homogeneous
100.0,0.013136254152889187,sub6,homogeneous
116.5,0.003193186079788305,sub6,homogeneous
131.0,0.006279360948628798,sub6,homogeneous
25.0,0.035084615014135276,sub7,variegated
32.0,0.029255160304721625,sub7,variegated
42.0,0.004253704829139444,sub7,variegated
54.0,0.0048622346430471875,sub7,variegated
67.0,0.0053413919248782105,sub7,variegated
83.0,0.004534823348736727,sub7,variegated
100.0,0.012389013992172161,sub7,variegated
116.5,0.0028139754623377022,sub7,variegated
131.0,0.004394978376711249,sub7,variegated
25.0,0.01545090904794257,sub7,homogeneous
32.0,0.011228183072668641,sub7,homogeneous
42.0,0.007385466170081785,sub7,homogeneous
54.0,0.014644917484302791,sub7,homogeneous
67.0,0.0064389870496330825,sub7,homogeneous
83.0,0.005452278975076959,sub7,homogeneous
100.0,0.0053643368338305575,sub7,homogeneous
116.5,0.00531181929267855,sub7,homogeneous
131.0,0.008075126796743501,sub7,homogeneous
25.0,0.028648262133048635,test,variegated
32.0,0.0106470641867338,test,variegated
42.0,0.016496282788604474,test,variegated
54.0,0.003656822538622225,test,variegated
67.0,0.011887396644945107,test,variegated
83.0,0.002334743463635288,test,variegated
100.0,0.013398079659003019,test,variegated
116.5,0.0028729040249232136,test,variegated
131.0,0.002453255953340431,test,variegated
25.0,0.019181085502292018,test,homogeneous
32.0,0.014726552438386376,test,homogeneous
42.0,0.009435907251567533,test,homogeneous
54.0,0.0030344231398203767,test,homogeneous
67.0,0.0016179723881094446,test,homogeneous
83.0,0.005593208002928439,test,homogeneous
100.0,0.009926660138446966,test,homogeneous
116.5,0.006430488528093672,test,homogeneous
131.0,0.009146359721669606,test,homogeneous
