lum,slope,obs,background
76.0,0.009793413259113063,sub1,variegated
83.0,0.035585982613604746,sub1,variegated
93.0,0.007449760165248597,sub1,variegated
105.0,0.005822944613742119,sub1,variegated
118.0,0.005284739903481689,sub1,variegated
134.5,0.004348667521869044,sub1,variegated
151.5,0.01716153940331949,sub1,variegated
167.5,0.0032049179746751737,sub1,variegated
182.0,0.003415319933488703,sub1,variegated
76.0,0.001332780289945786,sub1,homogeneous
83.0,0.008131270574293553,sub1,homogeneous
93.0,0.005442771484270595,sub1,homogeneous
105.0,0.005910867993146052,sub1,homogeneous
118.0,0.0006649597305561599,sub1,homogeneous
134.5,0.0073018026963500805,sub1,homogeneous
151.5,0.012032639312696883,sub1,homogeneous
167.5,0.0015036518841326345,sub1,homogeneous
182.0,0.001258820545925234,sub1,homogeneous
76.0,0.010793739684747526,sub2,variegated
83.0,0.010049990400357773,sub2,variegated
93.0,0.011347791661087623,sub2,variegated
105.0,0.006766281926612577,sub2,variegated
118.0,0.02167784711650116,sub2,variegated
134.5,0.00633754588243788,sub2,variegated
151.5,0.0072848973169767905,sub2,variegated
167.5,0.003891061540556263,sub2,variegated
182.0,0.004747468959699269,sub2,variegated
76.0,0.0038150357006997426,sub2,homogeneous
83.0,0.0027856633143273496,sub2,homogeneous
93.0,0.0014660177111670651,sub2,homogeneous
105.0,0.007944620883802567,sub2,homogeneous
118.0,0.006424501536653716,sub2,homogeneous
134.5,0.005722835490487547,sub2,homogeneous
151.5,0.017364802331204136,sub2,homogeneous
167.5,0.00101293782072464,sub2,homogeneous
182.0,0.0018931455303764961,sub2,homogeneous
76.0,0.024058548610802782,sub3,variegated
83.0,0.0181668952334538,sub3,variegated
93.0,0.013415562066587417,sub3,variegated
105.0,0.010766248464302899,sub3,variegated
118.0,0.0097376296059539,sub3,variegated
134.5,0.0021660387749848557,sub3,variegated
151.5,0.002294125040307571,sub3,variegated
167.5,0.0020575544256675542,sub3,variegated
182.0,0.0013522656470363326,sub3,variegated
76.0,0.0014007891391044451,sub3,homogeneous
83.0,0.015210383452548812,sub3,homogeneous
93.0,0.0015025644698518081,sub3,homogeneous
105.0,0.001781333171291653,sub3,homogeneous
118.0,0.005494356399559459,sub3,homogeneous
134.5,0.004627424725512942,sub3,homogeneous
151.5,0.005148732274140374,sub3,homogeneous
167.5,0.004551988173424426,sub3,homogeneous
182.0,0.002010586700145802,sub3,homogeneous
76.0,0.07183123264182299,sub4,variegated
83.0,0.009616706861755614,sub4,variegated
93.0,0.006470258264923136,sub4,variegated
105.0,0.008275555598128731,sub4,variegated
118.0,0.009196607826735188,sub4,variegated
134.5,0.004103563092866922,sub4,variegated
151.5,0.0029647035086487103,sub4,variegated
167.5,0.0037077901172481997,sub4,variegated
182.0,0.003989009860528932,sub4,variegated
76.0,0.0008436808522361283,sub4,homogeneous
83.0,0.010680556687265058,sub4,homogeneous
93.0,0.007064864291275961,sub4,homogeneous
105.0,0.007703620273406847,sub4,homogeneous
118.0,0.006031660037248262,sub4,homogeneous
134.5,0.0020469930427370097,sub4,homogeneous
151.5,0.005682751919561387,sub4,homogeneous
167.5,0.00503844175218173,sub4,homogeneous
182.0,0.0019257802366447567,sub4,homogeneous
76.0,0.021610900799644225,sub5,variegated
83.0,0.019843242852454746,sub5,variegated
93.0,0.01146388839065795,sub5,variegated
105.0,0.004846141031210537,sub5,variegated
118.0,0.008992491990002032,sub5,variegated
134.5,0.007722595357021928,sub5,variegated
151.5,0.00445462099874255,sub5,variegated
167.5,0.004438262857010616,sub5,variegated
182.0,0.006936253670138152,sub5,variegated
76.0,0.0006476090547917387,sub5,homogeneous
83.0,0.0035469350886314643,sub5,homogeneous
93.0,0.001504368904993984,sub5,homogeneous
105.0,0.008174626809464606,sub5,homogeneous
118.0,0.002107374972852746,sub5,homogeneous
134.5,0.011610469722653186,sub5,homogeneous
151.5,0.006567911420165951,sub5,homogeneous
167.5,0.005806980549607142,sub5,homogeneous
182.0,0.002458604134922271,sub5,homogeneous
76.0,0.01025196047089882,sub6,variegated
83.0,0.01964042037767054,sub6,variegated
93.0,0.01943238584091941,sub6,variegated
105.0,0.011936808340812127,sub6,variegated
118.0,0.00572163888199116,sub6,variegated
134.5,0.010056450451702045,sub6,variegated
151.5,0.005352897421291495,sub6,variegated
167.5,0.001935292857909629,sub6,variegated
182.0,0.003169436458014661,sub6,variegated
76.0,-0.004810269262438503,sub6,homogeneous
83.0,0.011129673172425109,sub6,homogeneous
93.0,0.0007117251788397774,sub6,homogeneous
105.0,0.0074839995089808625,sub6,homogeneous
118.0,0.006058281290643258,sub6,homogeneous
134.5,0.011868601320636841,sub6,homogeneous
151.5,0.006741657820618574,sub6,homogeneous
167.5,0.005436357165126615,sub6,homogeneous
182.0,0.002671878684680764,sub6,homogeneous
76.0,0.010125161287290489,sub7,variegated
83.0,0.04606755192990944,sub7,variegated
93.0,0.006164032367960703,sub7,variegated
105.0,0.006709035057492092,sub7,variegated
118.0,0.006008000596431766,sub7,variegated
134.5,0.0033676547339733212,sub7,variegated
151.5,0.014685958967431967,sub7,variegated
167.5,0.0027857304106440966,sub7,variegated
182.0,0.003084791283804983,sub7,variegated
76.0,0.0024166361000342307,sub7,homogeneous
83.0,0.009279002178505115,sub7,homogeneous
93.0,0.006207930778111062,sub7,homogeneous
105.0,0.01049168756974577,sub7,homogeneous
118.0,0.005807837359726771,sub7,homogeneous
134.5,0.004708515462045748,sub7,homogeneous
151.5,0.004908283867390165,sub7,homogeneous
167.5,0.00436615050432405,sub7,homogeneous
182.0,0.0010675528796474654,sub7,homogeneous
76.0,0.0296259744373794,test,variegated
83.0,0.02804313276941105,test,variegated
93.0,0.004124791407147196,test,variegated
105.0,0.01634038864497152,test,variegated
118.0,0.01491816337394947,test,variegated
134.5,0.0029299502140552936,test,variegated
151.5,0.010833486900818498,test,variegated
167.5,0.003542761170081082,test,variegated
182.0,0.003568349375835833,test,variegated
76.0,0.001980190412679698,test,homogeneous
83.0,0.004666221332017384,test,homogeneous
93.0,0.0021180507325079347,test,homogeneous
105.0,0.0020776267934213555,test,homogeneous
118.0,0.0018314443507707215,test,homogeneous
134.5,0.005571891204074466,test,homogeneous
151.5,0.015575287958558634,test,homogeneous
167.5,0.0012360730698628354,test,homogeneous
182.0,0.002055513833891585,test,homogeneous
