lum,pscale,up_std,low_std,obs,background
25,0.0,0.0,0.0,sub1,variegated
40,0.08754204758634185,0.2859652068545392,0.06407152289582198,sub1,variegated
60,0.341593912147603,0.7090974961808968,0.32057332399037874,sub1,variegated
89,0.4417667224633603,0.967231153274305,0.42086770605208224,sub1,variegated
120,0.4836023893958272,1.0142141874755752,0.4616215074932497,sub1,variegated
155,0.5380602981464109,1.066993705032869,0.5164062059772648,sub1,variegated
199,0.8028960753678416,1.3744446188103236,0.7775273360654829,sub1,variegated
242,0.8539545930592265,1.432935675748501,0.8302227125315073,sub1,variegated
281,0.9433149579868494,1.557132819350968,0.9186814698493491,sub1,variegated
312,1.0,1.7348131467833336,0.9767504369857913,sub1,variegated
25,0.0,0.0,0.0,sub1,homogeneous
40,0.11395836680373084,0.11670605728705018,0.11355902549950612,sub1,homogeneous
60,0.22947743785057725,0.27938937635255107,0.2268694621072965,sub1,homogeneous
89,0.35109804147437124,0.3997971355037625,0.34384855928342317,sub1,homogeneous
120,0.47002274255997517,0.5302770907528027,0.46092650680032554,sub1,homogeneous
155,0.5858169176337451,0.6788870147345626,0.5763354539119855,sub1,homogeneous
199,0.8096087347941328,0.9072773878597049,0.7987051948153868,sub1,homogeneous
242,0.8864208913224618,1.0243603900530025,0.8754409390451401,sub1,homogeneous
281,0.9425876759081181,1.0804907906661199,0.9316607925943813,sub1,homogeneous
312,1.0,1.1378960469678274,0.9890849093745686,sub1,homogeneous
25,0.0,0.0,0.0,sub2,variegated
40,0.07518975323282191,0.11518639046010065,0.05174937753648556,sub2,variegated
60,0.16306772140190684,0.3809427966245472,0.1353444953617145,sub2,variegated
89,0.26295540891898384,0.5155729544518096,0.2328242835771676,sub2,variegated
120,0.33461807756339756,0.5970511688769665,0.3007573617641948,sub2,variegated
155,0.6562982060692446,1.0918734548771323,0.6211717587785636,sub2,variegated
199,0.745107964527217,1.202606704583497,0.712706763875144,sub2,variegated
242,0.8233170070293875,1.2892081567901605,0.7907532245400445,sub2,variegated
281,0.9597925296665402,1.467578709295561,0.9292540481724451,sub2,variegated
312,1.0,1.5462467020462842,0.9687695193597773,sub2,variegated
25,0.0,0.0,0.0,sub2,homogeneous
40,0.10258517092260486,0.17157934649675366,0.09213762696597474,sub2,homogeneous
60,0.21382789291846224,0.3558515041515326,0.19927328297490893,sub2,homogeneous
89,0.30718998720640184,0.5079647722072846,0.2923800388180188,sub2,homogeneous
120,0.36449434922631896,0.635959275376121,0.350024348288863,sub2,homogeneous
155,0.5272418971593482,0.8059284710880583,0.5144436857475021,sub2,homogeneous
199,0.8616535965646694,1.191487267396327,0.8491288233722958,sub2,homogeneous
242,0.8983358460823697,1.2558877883163524,0.8876597050761336,sub2,homogeneous
281,0.9155365122985626,1.3076408760810634,0.9088617285493454,sub2,homogeneous
312,1.0,1.3941102248174688,0.9934126482296103,sub2,homogeneous
25,0.0,0.0,0.0,sub3,variegated
40,0.1333173158388607,0.23300906308619407,0.12251384586109003,sub3,variegated
60,0.2660758751179627,0.38564344830191793,0.25666144291138443,sub3,variegated
89,0.4909831596008343,0.6183815275110265,0.483501989089686,sub3,variegated
