lum,slope,obs,background
32.5,0.005836136505756123,sub1,variegated
50.0,0.012702593228063058,sub1,variegated
74.5,0.003454234838474388,sub1,variegated
104.5,0.0013495376429828042,sub1,variegated
137.5,0.0015559402500166758,sub1,variegated
177.0,0.0060189949368506974,sub1,variegated
220.5,0.0011874073881717423,sub1,variegated
261.5,0.002291291408400587,sub1,variegated
296.5,0.0018285497423596972,sub1,variegated
32.5,0.007597224453582057,sub1,homogeneous
50.0,0.00577595355234232,sub1,homogeneous
74.5,0.004193813918061861,sub1,homogeneous
104.5,0.0038362806801807738,sub1,homogeneous
137.5,0.0033084050021077106,sub1,homogeneous
177.0,0.005086177662736083,sub1,homogeneous
220.5,0.001786329221589048,sub1,homogeneous
261.5,0.0014401739637347733,sub1,homogeneous
296.5,0.0018520104545768393,sub1,homogeneous
32.5,0.0050126502155214605,sub2,variegated
50.0,0.004393898408454246,sub2,variegated
74.5,0.003444403017830241,sub2,variegated
104.5,0.002311698988529477,sub2,variegated
137.5,0.009190860814452771,sub2,variegated
177.0,0.0020184036013175533,sub2,variegated
220.5,0.0018188149419109427,sub2,variegated
261.5,0.003499372375311607,sub2,variegated
296.5,0.0012970151720470915,sub2,variegated
32.5,0.0068390113948403235,sub2,homogeneous
50.0,0.005562136099792869,sub2,homogeneous
74.5,0.0032193825616530893,sub2,homogeneous
104.5,0.0018485278070941007,sub2,homogeneous
137.5,0.004649929940943693,sub2,homogeneous
177.0,0.007600265895575483,sub2,homogeneous
220.5,0.0008530755701790761,sub2,homogeneous
261.5,0.00044104272349212493,sub2,homogeneous
296.5,0.002724628635530239,sub2,homogeneous
32.5,0.008887821055924046,sub3,variegated
50.0,0.006637927963955101,sub3,variegated
74.5,0.00775542360285764,sub3,variegated
104.5,0.00450195826654631,sub3,variegated
137.5,0.0037336736415527925,sub3,variegated
177.0,0.0015731400309281671,sub3,variegated
220.5,0.0009318653804245853,sub3,variegated
261.5,0.002900176571863099,sub3,variegated
296.5,0.0005284612148427419,sub3,variegated
32.5,0.008690147782791662,sub3,homogeneous
50.0,0.006601041354259904,sub3,homogeneous
74.5,0.004769419107610435,sub3,homogeneous
104.5,0.0040030905585418984,sub3,homogeneous
137.5,0.003680541548596009,sub3,homogeneous
177.0,0.003262770008813191,sub3,homogeneous
220.5,0.00170168871749666,sub3,homogeneous
261.5,0.0016432805503482362,sub3,homogeneous
296.5,0.002115374317188621,sub3,homogeneous
32.5,0.01957076808973675,sub4,variegated
50.0,0.002939304993278491,sub4,variegated
74.5,0.0022854295036146095,sub4,variegated
104.5,0.0025388735385159585,sub4,variegated
137.5,0.003172407892813286,sub4,variegated
177.0,0.002093892058057767,sub4,variegated
220.5,0.001197542301879161,sub4,variegated
261.5,0.005488952259714401,sub4,variegated
296.5,0.0010948664379641353,sub4,variegated
32.5,0.009399314470514876,sub4,homogeneous
50.0,0.004725520398701888,sub4,homogeneous
74.5,0.0031624938020070516,sub4,homogeneous
104.5,0.004701053424737019,sub4,homogeneous
137.5,0.004261985870352882,sub4,homogeneous
177.0,0.00354240734501975,sub4,homogeneous
220.5,0.0018983063447334247,sub4,homogeneous
261.5,0.0017793827172380072,sub4,homogeneous
296.5,0.002290205519488632,sub4,homogeneous
32.5,0.00748174406540677,sub5,variegated
50.0,0.006374079797579787,sub5,variegated
74.5,0.003529317666120091,sub5,variegated
104.5,0.0032610065931826374,sub5,variegated
137.5,0.0022690324205150935,sub5,variegated
177.0,0.0018546873311587305,sub5,variegated
