"","pscale","up_std","low_std"
"R1",-0.288214569692055,0.384315250013338,-1.28155156549644
"R2",1.09741024193958,5.78198944429291,0.477568790198879
"R3",7.81060534577727,17.0228285501608,7.26495883545795
"R4",9.91866966463321,19.8954772298287,9.2945463072688
"R5",11.56639274546,25.0317393622556,10.9733363690998
"R6",13.3110574425985,26.8531898266622,12.740112991942
"R7",15.2594215738748,29.5537965520942,14.5797135655339
"R8",21.3296889499875,36.1125029844199,20.6826051073205
"R9",22.6144612370137,37.6863918916773,21.9613349619006
"R10",23.5808969248161,39.0818665925142,22.9387182984272
