"","pscale","up_std","low_std"
"R1",21.9711307363831,36.2782992950142,20.8108113619505
"R2",23.4381929611855,38.5976834098704,22.2956376339132
"R3",24.8664859017445,43.7818046657426,23.7547024446834
"R4",25.9939926270682,45.4065634952692,24.8926276722249
"R5",32.1041599247767,51.9468509632658,31.1360989904989
"R6",37.8687197523703,57.9209536432587,36.9502560157976
"R7",44.8376086473001,65.2293338454373,44.0440231118878
"R8",61.5315844969872,84.9738275665088,60.2789695683225
"R9",62.6352320030016,86.3390983773071,61.6786330958583
"R10",64.0912405500039,89.3540505753738,63.2368690907631
