"","pscale","up_std","low_std"
"R1",0,0,0
"R2",7.41738994051714,12.4059930617622,6.6619834158696
"R3",15.4607615084247,25.7297360181115,14.4083948124145
"R4",22.2112796658632,36.7282401308273,21.1404508003691
"R5",26.3546543327043,45.9828441998918,25.3084052654416
"R6",38.1220668546664,58.2724157932624,37.1966960264162
"R7",62.3016042366497,86.1501286390347,61.3960042766471
"R8",64.953903259219,90.8065889416319,64.1819680936292
"R9",66.1975922584647,94.5485803924848,65.714974026304
"R10",72.3046993421025,100.800720655178,71.8284028528838
