"","pscale","up_std","low_std"
"R1",-0.0918836838841378,0.46282667531031,-0.673503260961533
"R2",0.627714984768195,1.21043082258036,0.147002633171181
"R3",1.07373553915319,1.71695060487423,0.596879634474968
"R4",2.19613620066954,3.01883007669858,1.69710940278706
"R5",2.65895762326592,3.52379675733502,2.14579540274173
"R6",3.49563687599517,4.451612297855,2.97498820507035
"R7",5.33341833261276,6.59912011333173,4.70884848042624
"R8",7.03139824793474,11.6474064732285,6.39228326701836
"R9",7.46994325678223,12.1248484874849,6.81749248297889
"R10",8.0786914954963,12.7469676872357,7.40106696766783
