"","pscale","up_std","low_std"
"R1",0,0,0
"R2",11.1091012770611,11.7295757015596,10.8509220043956
"R3",12.9927956693982,18.0102021389249,12.4218873821074
"R4",14.4354211882726,19.7051292674071,13.8108713526476
"R5",17.2791533230182,26.9324788239483,16.5173119920464
"R6",18.7795388179133,28.9599316782912,17.9737807658273
"R7",25.8583240422532,39.6988420434471,24.9956893303426
"R8",27.0687376668003,41.0304650872946,26.174304271914
"R9",27.874567297155,41.8768545553419,27.0277706006095
"R10",28.6417488792187,42.6349015141558,27.7624013529717
