"","pscale","up_std","low_std"
"R1",5.92186830680664,6.08710350788488,5.9199558608419
"R2",11.7856499200006,12.6192974976915,11.73291166964
"R3",17.7883194007331,19.1926497375901,17.7158524870566
"R4",23.5575548737655,25.1979883350275,23.4771253194606
"R5",25.4128403435897,31.3877380260754,25.1191559707991
"R6",26.5669644097594,36.4482822434782,26.2089170158216
"R7",31.6966037478076,49.9883445408971,30.9227054618494
"R8",39.7889879100832,59.2254203010445,39.0217594417025
"R9",45.3588731201472,64.9552437761932,44.6187940421902
"R10",50.9510754965117,70.7311584338907,50.2245376708599
