"","pscale","up_std","low_std"
"R1",-4.57593531374336e-11,0.841621233408579,-0.84162123347119
"R2",5.71039186902116,6.56848662943843,5.61565332745741
"R3",8.54006479317017,18.2301359345673,7.76745749774681
"R4",15.1163966256834,25.2602587435014,14.4621684678166
"R5",16.5742085930683,29.7318115708568,15.7678886885002
"R6",22.1030122812045,35.5747034339187,21.3978403625844
"R7",23.4991493343893,37.2244180219447,22.7784781646886
"R8",30.6207713292883,45.2980422827163,29.7048686693431
"R9",32.2432777314905,47.6497811166381,31.4523137606399
"R10",33.2212814081976,48.8193809275281,32.5003347151933
