"","pscale","up_std","low_std"
"R1",25.888431423887,35.7338376943755,25.4480215791599
"R2",26.5166335516157,36.3776740484988,26.0934872660175
"R3",28.4904034479895,41.7957023254257,27.9754274214831
"R4",29.8342782271813,44.2586782382736,29.2133047286846
"R5",31.1525045592513,49.1645040891458,30.4577276914424
"R6",32.5082025793721,50.7621905255353,31.8215388041766
"R7",38.1057454437456,56.5671824779168,37.480291849043
"R8",50.458634555951,70.5854066357956,49.3532446441084
"R9",51.5696862481052,71.7291136566801,50.7691032494009
"R10",52.8738822039669,73.8469979868882,52.1972470023945
