"","pscale","up_std","low_std"
"R1",0,0,0
"R2",12.0389970217723,13.3313545194331,11.7974069118735
"R3",23.6821398832852,25.5029079685542,23.5361348261345
"R4",26.9516645997629,36.9080005063679,26.5869009768181
"R5",31.9499413257345,50.2317987227924,31.2543980541062
"R6",38.9473666769488,57.8972996740382,38.224654082479
"R7",51.4787389558661,71.5955041641952,50.7079148124059
"R8",54.2250172700676,78.5182258554298,53.8785858007305
"R9",60.0238417998355,84.4691839368512,59.6874715394065
"R10",65.9281115684887,90.5353806003871,65.5918951058734
