"","pscale","up_std","low_std"
"R1",0,0,0
"R2",6.56729937505924,11.6821131624254,6.08020121363518
"R3",9.65664112918761,19.6041444972072,8.89194407046667
"R4",15.845302608847,26.9651281905548,15.0753690771264
"R5",22.1983378905463,35.6001607983406,21.4888512453033
"R6",24.091407837511,37.9601775095365,23.3706964109877
"R7",30.5907986826398,45.1976531513834,29.8615108889529
"R8",33.1361711176013,48.687082137137,32.4036042780094
"R9",34.3190157209935,49.9249130125101,33.6123472254726
"R10",35.2653835670668,51.4360478576689,34.5821897031825
