lum,slope,obs,background
25.0,0.03230551924155438,sub1,variegated
32.0,0.021724796152691257,sub1,variegated
42.0,0.00932856306653578,sub1,variegated
54.0,0.010076444238054616,sub1,variegated
67.0,0.007771563841649017,sub1,variegated
83.0,0.005107603018477248,sub1,variegated
100.0,0.006814950878634186,sub1,variegated
116.5,0.003413588727126774,sub1,variegated
131.0,0.002641621428256672,sub1,variegated
25.0,0.013839856270871823,sub1,homogeneous
32.0,0.008962989676437515,sub1,homogeneous
42.0,0.008493778557992736,sub1,homogeneous
54.0,0.007588736923769351,sub1,homogeneous
67.0,0.008340743933641972,sub1,homogeneous
83.0,0.014644052994107128,sub1,homogeneous
100.0,0.006730200256804507,sub1,homogeneous
116.5,0.0051664470091448865,sub1,homogeneous
131.0,0.006365882246072735,sub1,homogeneous
25.0,0.023868186999032676,sub2,variegated
32.0,0.018274578611455733,sub2,variegated
42.0,0.009704905465599559,sub2,variegated
54.0,0.009587480132857049,sub2,variegated
67.0,0.007638501837303714,sub2,variegated
83.0,0.006383039966672271,sub2,variegated
100.0,0.006787393072196106,sub2,variegated
116.5,0.005141521670415607,sub2,variegated
131.0,0.005103976604843574,sub2,variegated
25.0,0.009490766898454208,sub2,homogeneous
32.0,0.010636394774816881,sub2,homogeneous
42.0,0.007311634977950718,sub2,homogeneous
54.0,0.009768959668759894,sub2,homogeneous
67.0,0.012673197661990904,sub2,homogeneous
83.0,0.016370812858384556,sub2,homogeneous
100.0,0.009678198916267186,sub2,homogeneous
116.5,0.004007159005638469,sub2,homogeneous
131.0,-0.0035062649853926007,sub2,homogeneous
25.0,0.030404191940605358,sub3,variegated
32.0,0.02431995798328425,sub3,variegated
42.0,0.010546640491539389,sub3,variegated
54.0,0.008937562692929057,sub3,variegated
67.0,0.007434775908299123,sub3,variegated
83.0,0.005929981895899859,sub3,variegated
100.0,0.00491703786454132,sub3,variegated
116.5,0.004095065027430224,sub3,variegated
131.0,0.0025074581779260343,sub3,variegated
25.0,0.012008520031005014,sub3,homogeneous
32.0,0.014171162302426354,sub3,homogeneous
42.0,0.011251656343891333,sub3,homogeneous
54.0,0.013676382838807255,sub3,homogeneous
67.0,0.009649939453228007,sub3,homogeneous
83.0,0.01052087087616763,sub3,homogeneous
100.0,0.006885754331060187,sub3,homogeneous
116.5,0.0030813485672122314,sub3,homogeneous
131.0,0.002367774012199638,sub3,homogeneous
25.0,0.029086349282142807,sub4,variegated
32.0,0.01474087804520641,sub4,variegated
42.0,0.010174273286447008,sub4,variegated
54.0,0.008930613078217839,sub4,variegated
67.0,0.007201097500809868,sub4,variegated
83.0,0.007525295061390103,sub4,variegated
100.0,0.004962177157709129,sub4,variegated
116.5,0.005403236422148781,sub4,variegated
131.0,0.005897976146106533,sub4,variegated
25.0,-0.0053868086968079975,sub4,homogeneous
32.0,0.0018015809989669618,sub4,homogeneous
42.0,0.006532601758314864,sub4,homogeneous
54.0,0.008862975465529499,sub4,homogeneous
67.0,0.01255203365234456,sub4,homogeneous
83.0,0.014859008600804394,sub4,homogeneous
100.0,0.011800333656249662,sub4,homogeneous
116.5,0.008755131586132236,sub4,homogeneous
131.0,0.004360673007619535,sub4,homogeneous
25.0,0.0250711497221579,sub5,variegated
32.0,0.016345472013388037,sub5,variegated
42.0,0.01339909715204527,sub5,variegated
54.0,0.008018780396853303,sub5,variegated
67.0,0.007488648478714269,sub5,variegated
83.0,0.007111764508607978,sub5,variegated
100.0,0.007874867795984772,sub5,variegated
116.5,0.0026516368820037736,sub5,variegated
131.0,0.004822186948866797,sub5,variegated
25.0,0.012289189991678743,sub5,homogeneous
32.0,0.011308084974362623,sub5,homogeneous
42.0,0.00863088368481472,sub5,homogeneous
54.0,0.012650192215795142,sub5,homogeneous
67.0,0.007170183373822909,sub5,homogeneous
83.0,0.0046471064768070685,sub5,homogeneous
100.0,0.01032098288594021,sub5,homogeneous
116.5,0.007037929855332431,sub5,homogeneous
131.0,0.009301354326330466,sub5,homogeneous
25.0,0.04214631773437202,sub6,variegated
32.0,0.032830665723132785,sub6,variegated
42.0,0.011561957176101543,sub6,variegated
54.0,0.00793790984984205,sub6,variegated
67.0,0.008169014245481625,sub6,variegated
83.0,0.005533557300325731,sub6,variegated
100.0,0.003834602031258287,sub6,variegated
116.5,0.0013321240315520941,sub6,variegated
131.0,-0.0039576340318118,sub6,variegated
25.0,0.009847236319720903,sub6,homogeneous
32.0,0.01674587443897176,sub6,homogeneous
42.0,0.01436734697009672,sub6,homogeneous
54.0,0.00824608355621254,sub6,homogeneous
67.0,0.007436442843676862,sub6,homogeneous
83.0,0.012602112366791905,sub6,homogeneous
100.0,0.00576400828434534,sub6,homogeneous
116.5,0.003812306473514728,sub6,homogeneous
131.0,0.003967237936765271,sub6,homogeneous
25.0,0.024653936919450312,sub7,variegated
32.0,0.02192148907883439,sub7,variegated
42.0,0.012464957159596784,sub7,variegated
54.0,0.010195442156878015,sub7,variegated
67.0,0.0082410673320396,sub7,variegated
83.0,0.006493906539491316,sub7,variegated
100.0,0.00617307682281365,sub7,variegated
116.5,0.0037903645277443747,sub7,variegated
131.0,0.0007757489632378803,sub7,variegated
25.0,0.008002127551685678,sub7,homogeneous
32.0,0.009859133810484387,sub7,homogeneous
42.0,0.00837398850526208,sub7,homogeneous
54.0,0.010620958225091707,sub7,homogeneous
67.0,0.010372336181989631,sub7,homogeneous
83.0,0.009153078972490299,sub7,homogeneous
100.0,0.010480559722190398,sub7,homogeneous
116.5,0.00730653923296587,sub7,homogeneous
131.0,0.003608879406134922,sub7,homogeneous
25.0,0.01507142427250989,test,variegated
32.0,0.018363434895750787,test,variegated
42.0,0.012347181308752475,test,variegated
54.0,0.009227329917683089,test,variegated
67.0,0.007299113114447499,test,variegated
83.0,0.006466487358694607,test,variegated
100.0,0.007902869861465128,test,variegated
116.5,0.005688644591959365,test,variegated
131.0,0.005169384048015702,test,variegated
25.0,0.013617510333898152,test,homogeneous
32.0,0.009886165078872673,test,homogeneous
42.0,0.0115629750283643,test,homogeneous
54.0,0.01229876197719335,test,homogeneous
67.0,0.00840171223618649,test,homogeneous
83.0,0.007068668848991155,test,homogeneous
100.0,0.011079749688131496,test,homogeneous
116.5,0.0053776130584549595,test,homogeneous
131.0,0.0032757788088873343,test,homogeneous
