lum,slope,obs,background
76.0,0.021426771457970825,sub1,variegated
83.0,0.016761801653623645,sub1,variegated
93.0,0.010003635121310667,sub1,variegated
105.0,0.010583004906857513,sub1,variegated
118.0,0.009204356308505348,sub1,variegated
134.5,0.00790272702533954,sub1,variegated
151.5,0.007487916893620679,sub1,variegated
167.5,0.0051387068844689285,sub1,variegated
182.0,0.0009679754536966364,sub1,variegated
76.0,0.00700159786953786,sub1,homogeneous
83.0,0.0060192900389679045,sub1,homogeneous
93.0,0.005884874471628839,sub1,homogeneous
105.0,0.00763314722446774,sub1,homogeneous
118.0,0.009292529970347562,sub1,homogeneous
134.5,0.01854932566343743,sub1,homogeneous
151.5,0.008656999527832328,sub1,homogeneous
167.5,0.0031658586788603747,sub1,homogeneous
182.0,0.00678438620579853,sub1,homogeneous
76.0,0.01919848804563244,sub2,variegated
83.0,0.01465272397498904,sub2,variegated
93.0,0.009657951748679639,sub2,variegated
105.0,0.010167497499808381,sub2,variegated
118.0,0.00996873629775556,sub2,variegated
134.5,0.005929831805046564,sub2,variegated
151.5,0.008899083887614675,sub2,variegated
167.5,0.005925444011106487,sub2,variegated
182.0,0.003602830831411987,sub2,variegated
76.0,0.0005350678949275907,sub2,homogeneous
83.0,0.007917681216651198,sub2,homogeneous
93.0,0.00521588625276071,sub2,homogeneous
105.0,0.011271061235818712,sub2,homogeneous
118.0,0.01110336476423542,sub2,homogeneous
134.5,0.01956545970215074,sub2,homogeneous
151.5,0.00901574601015458,sub2,homogeneous
167.5,0.0017029147255327253,sub2,homogeneous
182.0,0.0036856826256447353,sub2,homogeneous
76.0,0.027551943030069678,sub3,variegated
83.0,0.021234115433655356,sub3,variegated
93.0,0.012137182375141142,sub3,variegated
105.0,0.010487566501744044,sub3,variegated
118.0,0.007926760759914562,sub3,variegated
134.5,0.006260081128383534,sub3,variegated
151.5,0.005972977039832928,sub3,variegated
167.5,0.004002831754572892,sub3,variegated
182.0,0.0004799536936993994,sub3,variegated
76.0,0.001782971114990885,sub3,homogeneous
