lum,slope,obs,background
32.5,0.01408038363525,sub1,variegated
50.0,0.007720271175232984,sub1,variegated
74.5,0.0031819969841837834,sub1,variegated
104.5,0.002883281250180252,sub1,variegated
137.5,0.0028980148285796315,sub1,variegated
177.0,0.0024748917764745608,sub1,variegated
220.5,0.002049506307691347,sub1,variegated
261.5,0.00241698066337816,sub1,variegated
296.5,0.0019358844000654455,sub1,variegated
32.5,0.007535597107581892,sub1,homogeneous
50.0,0.005312462300986764,sub1,homogeneous
74.5,0.003229147253222407,sub1,homogeneous
104.5,0.0025088851902203054,sub1,homogeneous
137.5,0.003734198263510405,sub1,homogeneous
177.0,0.005868284372503923,sub1,homogeneous
220.5,0.0025867809898783424,sub1,homogeneous
261.5,0.00179007346353303,sub1,homogeneous
296.5,0.001269360866795593,sub1,homogeneous
32.5,0.012979542503519738,sub2,variegated
50.0,0.005716573032758644,sub2,variegated
74.5,0.0035013398168182988,sub2,variegated
104.5,0.0038064380640828984,sub2,variegated
137.5,0.002616286415539361,sub2,variegated
177.0,0.003037788984076773,sub2,variegated
220.5,0.002439146036213334,sub2,variegated
261.5,0.0027780371144005,sub2,variegated
296.5,0.0010637903308284523,sub2,variegated
32.5,0.0071738384941996,sub2,homogeneous
50.0,0.00617726761532579,sub2,homogeneous
74.5,0.003456886889829224,sub2,homogeneous
104.5,0.00469003889813033,sub2,homogeneous
137.5,0.003448566309892287,sub2,homogeneous
177.0,0.006515548431141175,sub2,homogeneous
220.5,0.0021817547857442016,sub2,homogeneous
261.5,0.0005833154952561397,sub2,homogeneous
296.5,-2.3953783388045686e-05,sub2,homogeneous
32.5,0.012827380530955163,sub3,variegated
50.0,0.007539528988288534,sub3,variegated
74.5,0.004496492941289733,sub3,variegated
104.5,0.0027921637198475165,sub3,variegated
137.5,0.0028286144603477986,sub3,variegated
177.0,0.002393561429035679,sub3,variegated
220.5,0.0021371835691908338,sub3,variegated
261.5,0.0018224249445931307,sub3,variegated
296.5,0.0023403763339724455,sub3,variegated
32.5,0.006700324668176451,sub3,homogeneous
50.0,0.008010211334573596,sub3,homogeneous
74.5,0.0049160767711324636,sub3,homogeneous
104.5,0.0049155666585934486,sub3,homogeneous
137.5,0.004887363685185383,sub3,homogeneous
177.0,0.0036571228044099,sub3,homogeneous
220.5,0.0019765107325286292,sub3,homogeneous
261.5,0.001179484200369712,sub3,homogeneous
296.5,-0.0006006086187751895,sub3,homogeneous
32.5,0.010529300248738377,sub4,variegated
50.0,0.006705531434831648,sub4,variegated
74.5,0.003901129851563212,sub4,variegated
104.5,0.0026238841506338183,sub4,variegated
137.5,0.003412508025563773,sub4,variegated
177.0,0.0027295112350849897,sub4,variegated
220.5,0.003067495023632734,sub4,variegated
261.5,0.0011351612535846134,sub4,variegated
296.5,0.0031537691310590575,sub4,variegated
32.5,0.0023856523734545137,sub4,homogeneous
