"","pscale","up_std","low_std"
"",0,0,0
"S2",1.76391254766202,2.1867056549832,1.44665186364307
"S3",3.3455056800966,3.96382409799046,2.94279420175135
"S4",4.36420278393719,5.13071154099566,3.88423525689624
"S5",5.46456995614835,6.37630561357242,4.88134738085529
"S6",6.45468470103336,7.49718311100049,5.78071714070298
"S7",7.29132487252267,8.47796635311888,6.54047048441358
"S8",8.28359927010698,9.6151587708484,7.45456332192433
"S9",8.81169078617448,10.2578729889758,7.89111377316958
"S10",9.10016094810775,10.6185262087842,8.13351176275705
