"","pscale","up_std","low_std"
"",0,0,0
"S2",0.11236978438278,0.486416639036618,-0.280164622576043
"S3",0.919796888178729,1.37032075903619,0.548738304564693
"S4",1.9168359127196,2.52892290646011,1.49679206173483
"S5",3.85308337978151,4.81925191183932,3.28367305627502
"S6",5.82824423024304,7.18215049273841,5.090981184249
"S7",8.25681768092985,10.1180574472921,7.26440704824447
"S8",9.43591708103139,11.5994408822363,8.30442663793867
"S9",9.96288833303726,12.3168568294532,8.758849943761
"S10",10.503982504072,12.9316040534741,9.19441935430979
