"","pscale","up_std","low_std"
"",0,0,0
"S2",-0.359811919820572,-0.0260874099571478,-0.762232497119854
"S3",-0.199363101373964,0.19192527167966,-0.642923903331786
"S4",0.673327247357124,1.173174902648,0.267695431645332
"S5",1.85733224811554,2.58265416007099,1.39278628958699
"S6",3.81362963197296,5.01339528454655,3.19127954890003
"S7",6.79115234284289,8.73652535382323,5.85638640866662
"S8",8.89302796598352,11.396040918507,7.71773642847422
"S9",10.5499586580718,13.4964431346983,9.16158046432501
"S10",11.1325010184534,14.3009980478405,9.55638077256958
