"","pscale","up_std","low_std"
"",0,0,0
"S2",1.66256498267899,2.09388583566763,1.3421054844427
"S3",3.07429307988597,3.6803067870551,2.67853636139656
"S4",4.26519573688653,5.01840205626098,3.78221120538474
"S5",5.12143316917085,6.00915451836382,4.55695798346205
"S6",6.37870615935688,7.46346352394096,5.71427798376646
"S7",7.64293421156321,8.92133098971121,6.87135140512523
"S8",9.03141598265483,10.5039170931057,8.12329928067834
"S9",9.49744185273463,11.0796192725909,8.53227554923897
"S10",10.5265936855788,12.2943678727194,9.42000322273723
