"","pscale","up_std","low_std"
"",0,0,0
"S2",0.54135958449082,0.811899891945673,0.286864139019401
"S3",1.24494709915334,1.55128201029415,0.993915448623201
"S4",2.07237853879257,2.44815652006346,1.78867453989319
"S5",2.86059355614521,3.32159438681326,2.53771174892438
"S6",3.43109039604732,3.96062509159868,3.06174464233678
"S7",4.23644942863904,4.87692642037531,3.80198686269785
"S8",4.92408469841443,5.6389267918493,4.44155288160275
"S9",5.32985691070337,6.13801084026235,4.79401231822673
"S10",5.46630720875154,6.30026875253299,4.8834013227595
