"","pscale","up_std","low_std"
"",0,0,0
"S2",0.901125018400298,1.29314597623922,0.590720251621774
"S3",1.77340102873983,2.27686455697786,1.42105083638667
"S4",3.30373746024731,4.03462011259633,2.86938968565395
"S5",4.93145381092427,5.92590127921786,4.36831388313709
"S6",6.2287284314807,7.45935391672233,5.55291799415411
"S7",7.63201453674397,9.13648899483229,6.79341243511982
"S8",9.58719124609871,11.4017076920387,8.58107567956724
"S9",10.5954559277023,12.6290713524378,9.45953837337773
"S10",11.0289986483692,13.1779969571124,9.81619697482785
