"","pscale","up_std","low_std"
"",0,0,0
"S2",1.10840762088899,1.52932087717804,0.742735693247439
"S3",2.90909310498751,3.52945004702741,2.51038323431722
"S4",4.72520677966946,5.6548796917385,4.1726151306986
"S5",6.08242990819249,7.23306575979018,5.41764633051632
"S6",7.33497130017821,8.71002663565674,6.54703236468286
"S7",8.7616786383492,10.3568224275843,7.83387315310003
"S8",10.3115611219964,12.1685548724015,9.23811967823736
"S9",11.4969249753857,13.6124222178583,10.3236724923142
"S10",12.2572757651347,14.5449493303174,10.9495784616873
