"","pscale","up_std","low_std"
"",0,0,0
"S2",0.352927876771957,0.691272436262491,0.0297449799958917
"S3",0.970433731728141,1.36952012522429,0.633490565947812
"S4",2.17232020759209,2.70660106663705,1.79505630636295
"S5",3.91972918295435,4.75768648004242,3.42263294005462
"S6",5.06673630354885,6.07567255012375,4.46707289398963
"S7",6.44317638893627,7.73371454675066,5.70742165125058
"S8",8.20517737237333,9.79806927879833,7.30234637557302
"S9",9.1970015398509,10.9657175837317,8.18976282659051
"S10",9.87959717274645,11.8074190694038,8.75590143765474
