"","pscale","up_std","low_std"
"",0,0,0
"S2",0.781743704730888,1.16802150396456,0.436967549463644
"S3",1.99086831503879,2.50300272435527,1.6379051951254
"S4",3.6214926720727,4.36216744349342,3.15726905303512
"S5",4.88085216961015,5.83181825138697,4.31387416533111
"S6",6.25190350818897,7.45750904488225,5.5673720263863
"S7",7.62020021671685,9.05301714904314,6.78686573609413
"S8",8.65797202032664,10.2798925228587,7.7397909189587
"S9",9.8458092296412,11.6889366637089,8.79770182021495
"S10",10.4529059755971,12.3758300647523,9.33277750293627
