"","pscale","up_std","low_std"
"",0,0,0
"S2",1.4526540358122,1.91176886444062,1.08853947520647
"S3",2.83066344368381,3.46939577352851,2.41768554023279
"S4",4.64156426624812,5.57364477061993,4.0915151311144
"S5",6.19539832364412,7.40421079410471,5.50929486260062
"S6",7.82387509693584,9.33982435150953,6.98903286302127
"S7",8.9976080437669,10.6977229655095,8.02386788232339
"S8",10.2023180378695,12.0907569354571,9.12948248201882
"S9",10.6885505340879,12.7116455602769,9.55109514426949
"S10",11.1309283651632,13.2378204878337,9.91992999399857
