"","pscale","up_std","low_std"
"",0,0,0
"S2",1.72441533851899,2.2031492208692,1.36512706582436
"S3",3.59026408337124,4.31278780105702,3.13052607559544
"S4",5.10578556607828,6.097752048504,4.50875519490259
"S5",6.48504427229943,7.68343051002568,5.76928330749193
"S6",7.57670974325048,8.97464343184613,6.7532210528226
"S7",9.10675264951772,10.7732169500346,8.13886546848895
"S8",10.5298212765848,12.4510050244212,9.42083251408748
"S9",11.2965240434463,13.3482518838345,10.0915723767127
"S10",12.1846873131701,14.4181632465083,10.867562453805
