tar_lum,mat_lum,obs,background
137,266.7333333333333,sub1,variegated
74,167.5333333333333,sub1,variegated
137,231.1333333333333,sub1,variegated
28,31.46666666666667,sub1,variegated
60,142.1,sub1,variegated
28,43.16333333333333,sub1,variegated
60,95.81666666666663,sub1,variegated
36,51.81,sub1,variegated
36,42.023333333333326,sub1,variegated
36,61.28666666666666,sub1,variegated
74,139.7666666666667,sub1,variegated
22,27.80333333333333,sub1,variegated
22,29.663333333333338,sub1,variegated
28,32.44,sub1,variegated
74,62.75,sub1,variegated
60,117.5,sub1,variegated
137,197.2333333333333,sub1,variegated
28,34.470000000000006,sub1,variegated
60,101.56666666666665,sub1,variegated
92,161.7,sub1,variegated
137,231.1333333333333,sub1,variegated
74,120.06666666666665,sub1,variegated
60,113.46666666666664,sub1,variegated
125,197.2333333333333,sub1,variegated
125,199.9,sub1,variegated
108,197.2333333333333,sub1,variegated
92,199.9,sub1,variegated
60,70.22000000000001,sub1,variegated
36,46.78333333333332,sub1,variegated
28,36.58,sub1,variegated
48,53.00333333333334,sub1,variegated
137,227.13333333333327,sub1,variegated
48,105.66666666666669,sub1,variegated
137,217.80000000000004,sub1,variegated
125,231.1333333333333,sub1,variegated
28,49.19333333333332,sub1,variegated
92,164.3,sub1,variegated
36,54.333333333333336,sub1,variegated
22,21.97,sub1,variegated
125,220.8666666666667,sub1,variegated
28,27.80333333333333,sub1,variegated
108,208.80000000000004,sub1,variegated
22,17.533333333333335,sub1,variegated
22,21.16,sub1,variegated
74,177.5333333333333,sub1,variegated
108,188.5,sub1,variegated
22,21.16,sub1,variegated
48,107.36666666666669,sub1,variegated
137,208.80000000000004,sub1,homogeneous
74,86.86666666666667,sub1,homogeneous
137,159.1,sub1,homogeneous
28,30.553333333333324,sub1,homogeneous
60,81.53999999999999,sub1,homogeneous
28,26.03,sub1,homogeneous
60,79.87,sub1,homogeneous
36,40.87333333333333,sub1,homogeneous
36,44.39000000000001,sub1,homogeneous
36,34.470000000000006,sub1,homogeneous
74,62.75,sub1,homogeneous
22,18.943333333333328,sub1,homogeneous
22,18.943333333333328,sub1,homogeneous
28,29.663333333333338,sub1,homogeneous
74,64.18,sub1,homogeneous
60,51.81,sub1,homogeneous
137,167.5333333333333,sub1,homogeneous
28,27.80333333333333,sub1,homogeneous
60,62.75,sub1,homogeneous
92,128.3666666666667,sub1,homogeneous
137,208.80000000000004,sub1,homogeneous
74,60.02666666666665,sub1,homogeneous
60,55.76333333333332,sub1,homogeneous
125,208.80000000000004,sub1,homogeneous
125,214.76666666666662,sub1,homogeneous
108,180.2333333333333,sub1,homogeneous
92,156.8666666666667,sub1,homogeneous
60,55.76333333333332,sub1,homogeneous
36,33.46,sub1,homogeneous
28,24.32,sub1,homogeneous
48,44.39000000000001,sub1,homogeneous
137,194.13333333333327,sub1,homogeneous
48,44.39000000000001,sub1,homogeneous
137,202.9,sub1,homogeneous
125,224.3333333333333,sub1,homogeneous
28,24.32,sub1,homogeneous
92,151.69999999999996,sub1,homogeneous
36,33.46,sub1,homogeneous
22,18.943333333333328,sub1,homogeneous
125,249.7,sub1,homogeneous
28,27.80333333333333,sub1,homogeneous
108,202.9,sub1,homogeneous
22,18.943333333333328,sub1,homogeneous
22,13.74,sub1,homogeneous
74,67.19333333333333,sub1,homogeneous
108,169.5333333333333,sub1,homogeneous
22,17.533333333333335,sub1,homogeneous
48,50.44,sub1,homogeneous
60,70.22000000000001,sub1,homogeneous
108,161.7,sub1,homogeneous
108,177.5333333333333,sub1,homogeneous
60,70.22000000000001,sub1,homogeneous
36,34.470000000000006,sub1,homogeneous
28,27.80333333333333,sub1,homogeneous
48,47.95,sub1,homogeneous
60,62.75,sub1,homogeneous
125,154.2333333333333,sub1,homogeneous
48,50.44,sub1,homogeneous
60,64.18,sub1,homogeneous
36,38.636666666666656,sub1,homogeneous
92,128.3666666666667,sub1,homogeneous
92,132.8,sub1,homogeneous
108,161.7,sub1,homogeneous
108,172.1333333333333,sub1,homogeneous
74,49.19333333333332,sub1,homogeneous
22,15.56333333333333,sub1,homogeneous
48,42.023333333333326,sub1,homogeneous
125,169.5333333333333,sub1,homogeneous
108,161.7,sub1,homogeneous
92,132.8,sub1,homogeneous
137,199.9,sub1,homogeneous
48,55.76333333333332,sub1,homogeneous
36,40.87333333333333,sub1,homogeneous
48,46.78333333333332,sub1,homogeneous
92,132.8,sub1,homogeneous
108,177.5333333333333,sub1,homogeneous
92,144.6,sub1,homogeneous
36,38.636666666666656,sub1,homogeneous
74,58.51,sub1,homogeneous
74,67.19333333333333,sub1,homogeneous
28,21.97,sub1,homogeneous
125,208.80000000000004,sub1,homogeneous
22,14.32,sub1,homogeneous
22,19.65333333333333,sub1,homogeneous
92,128.3666666666667,sub1,homogeneous
74,61.28666666666666,sub1,homogeneous
22,15.56333333333333,sub1,homogeneous
48,37.603333333333325,sub1,homogeneous
74,65.72333333333334,sub1,homogeneous
92,130.46666666666664,sub1,homogeneous
125,205.80000000000004,sub1,homogeneous
108,172.1333333333333,sub1,homogeneous
36,28.70666666666667,sub1,homogeneous
137,273.9333333333333,sub1,homogeneous
125,249.7,sub1,homogeneous
137,259.8333333333333,sub1,homogeneous
137,263.2666666666667,sub1,homogeneous
125,214.76666666666662,sub1,homogeneous
48,39.84,sub1,homogeneous
28,25.16,sub1,homogeneous
125,256.9333333333333,sub2,variegated
48,97.63,sub2,variegated
74,126.3333333333333,sub2,variegated
22,22.693333333333328,sub2,variegated
137,277.6333333333334,sub2,variegated
125,253.2666666666667,sub2,variegated
137,291.8666666666667,sub2,variegated
48,64.18,sub2,variegated
92,169.5333333333333,sub2,variegated
60,88.75333333333333,sub2,variegated
28,29.663333333333338,sub2,variegated
28,21.97,sub2,variegated
60,121.8666666666667,sub2,variegated
28,37.603333333333325,sub2,variegated
137,253.2666666666667,sub2,variegated
125,270.2,sub2,variegated
60,93.88333333333333,sub2,variegated
74,101.56666666666665,sub2,variegated
125,249.7,sub2,variegated
22,16.86,sub2,variegated
108,259.8333333333333,sub2,variegated
36,32.44,sub2,variegated
48,93.88333333333333,sub2,variegated
60,101.56666666666665,sub2,variegated
48,81.53999999999999,sub2,variegated
92,180.2333333333333,sub2,variegated
74,161.7,sub2,variegated
36,38.636666666666656,sub2,variegated
22,26.03,sub2,variegated
48,79.87,sub2,variegated
60,91.99,sub2,variegated
60,90.32666666666665,sub2,variegated
28,26.03,sub2,variegated
125,202.9,sub2,variegated
137,277.6333333333334,sub2,variegated
22,20.436666666666667,sub2,variegated
137,266.7333333333333,sub2,variegated
36,39.84,sub2,variegated
60,83.22666666666667,sub2,variegated
92,188.5,sub2,variegated
48,62.75,sub2,variegated
48,78.25999999999999,sub2,variegated
92,180.2333333333333,sub2,variegated
92,164.3,sub2,variegated
108,194.13333333333327,sub2,variegated
22,25.16,sub2,variegated
28,23.50333333333333,sub2,variegated
28,23.50333333333333,sub2,variegated
36,34.470000000000006,sub2,variegated
60,97.63,sub2,variegated
