tar_lum,mat_lum,obs,background
159,220.8666666666667,sub1,variegated
99,109.46666666666664,sub1,variegated
111,95.81666666666663,sub1,variegated
111,113.46666666666664,sub1,variegated
111,97.63,sub1,variegated
99,84.96333333333331,sub1,variegated
144,188.5,sub1,variegated
73,32.44,sub1,variegated
125,101.56666666666665,sub1,variegated
73,21.16,sub1,variegated
111,113.46666666666664,sub1,variegated
176,246.5666666666667,sub1,variegated
73,30.553333333333324,sub1,variegated
79,34.470000000000006,sub1,variegated
176,224.3333333333333,sub1,variegated
111,88.75333333333333,sub1,variegated
79,23.50333333333333,sub1,variegated
111,121.8666666666667,sub1,variegated
159,217.80000000000004,sub1,variegated
73,32.44,sub1,variegated
125,144.6,sub1,variegated
144,217.80000000000004,sub1,variegated
87,57.06333333333332,sub1,variegated
159,233.5333333333333,sub1,variegated
87,65.72333333333334,sub1,variegated
144,194.13333333333327,sub1,variegated
111,78.25999999999999,sub1,variegated
188,277.6333333333334,sub1,variegated
144,144.6,sub1,variegated
125,156.8666666666667,sub1,variegated
159,256.9333333333333,sub1,variegated
79,38.636666666666656,sub1,variegated
87,45.52,sub1,variegated
144,174.8666666666667,sub1,variegated
176,236.6333333333333,sub1,variegated
87,90.32666666666665,sub1,variegated
111,139.7666666666667,sub1,variegated
87,61.28666666666666,sub1,variegated
111,105.66666666666669,sub1,variegated
144,194.13333333333327,sub1,variegated
176,270.2,sub1,variegated
176,240.3333333333333,sub1,variegated
73,36.58,sub1,variegated
188,277.6333333333334,sub1,variegated
87,60.02666666666665,sub1,variegated
144,128.3666666666667,sub1,variegated
99,99.46333333333332,sub1,variegated
79,24.32,sub1,variegated
159,211.7,sub1,variegated
188,277.6333333333334,sub1,variegated
188,259.8333333333333,sub1,variegated
159,185.8,sub1,homogeneous
99,115.7333333333333,sub1,homogeneous
111,117.5,sub1,homogeneous
111,109.46666666666664,sub1,homogeneous
111,105.66666666666669,sub1,homogeneous
99,109.46666666666664,sub1,homogeneous
144,182.93333333333328,sub1,homogeneous
73,78.25999999999999,sub1,homogeneous
125,117.5,sub1,homogeneous
73,76.69666666666667,sub1,homogeneous
111,105.66666666666669,sub1,homogeneous
176,211.7,sub1,homogeneous
73,60.02666666666665,sub1,homogeneous
79,83.22666666666667,sub1,homogeneous
176,233.5333333333333,sub1,homogeneous
111,81.53999999999999,sub1,homogeneous
79,74.93333333333332,sub1,homogeneous
111,79.87,sub1,homogeneous
159,188.5,sub1,homogeneous
73,67.19333333333333,sub1,homogeneous
125,103.40000000000002,sub1,homogeneous
144,217.80000000000004,sub1,homogeneous
87,72.01000000000002,sub1,homogeneous
159,243.6,sub1,homogeneous
87,70.22000000000001,sub1,homogeneous
144,185.8,sub1,homogeneous
111,99.46333333333332,sub1,homogeneous
188,256.9333333333333,sub1,homogeneous
144,197.2333333333333,sub1,homogeneous
125,111.36666666666669,sub1,homogeneous
159,197.2333333333333,sub1,homogeneous
79,65.72333333333334,sub1,homogeneous
87,72.01000000000002,sub1,homogeneous
144,185.8,sub1,homogeneous
176,240.3333333333333,sub1,homogeneous
87,76.69666666666667,sub1,homogeneous
111,113.46666666666664,sub1,homogeneous
87,74.93333333333332,sub1,homogeneous
111,99.46333333333332,sub1,homogeneous
144,231.1333333333333,sub1,homogeneous
176,236.6333333333333,sub1,homogeneous
176,231.1333333333333,sub1,homogeneous
73,60.02666666666665,sub1,homogeneous
188,253.2666666666667,sub1,homogeneous
87,67.19333333333333,sub1,homogeneous
144,188.5,sub1,homogeneous
99,107.36666666666669,sub1,homogeneous
79,62.75,sub1,homogeneous
159,208.80000000000004,sub1,homogeneous
188,281.1666666666667,sub1,homogeneous
188,284.5333333333333,sub1,homogeneous
176,217.80000000000004,sub1,homogeneous
79,83.22666666666667,sub1,homogeneous
144,205.80000000000004,sub1,homogeneous
73,72.01000000000002,sub1,homogeneous
159,233.5333333333333,sub1,homogeneous
87,93.88333333333333,sub1,homogeneous
111,95.81666666666663,sub1,homogeneous
125,103.40000000000002,sub1,homogeneous
188,270.2,sub1,homogeneous
188,249.7,sub1,homogeneous
