tar_lum,mat_lum,obs,background
312,333.8666666666666,sub1,variegated
89,88.75333333333333,sub1,variegated
60,67.19333333333333,sub1,variegated
25,25.16,sub1,variegated
60,49.19333333333332,sub1,variegated
242,243.6,sub1,variegated
89,101.56666666666665,sub1,variegated
242,273.9333333333333,sub1,variegated
242,174.8666666666667,sub1,variegated
312,303.5333333333333,sub1,variegated
40,34.470000000000006,sub1,variegated
281,299.3666666666666,sub1,variegated
120,95.81666666666663,sub1,variegated
89,67.19333333333333,sub1,variegated
89,91.99,sub1,variegated
242,281.1666666666667,sub1,variegated
155,185.8,sub1,variegated
281,333.8666666666666,sub1,variegated
40,23.50333333333333,sub1,variegated
120,149.2333333333333,sub1,variegated
120,194.13333333333327,sub1,variegated
40,39.84,sub1,variegated
25,18.25333333333333,sub1,variegated
199,197.2333333333333,sub1,variegated
242,236.6333333333333,sub1,variegated
40,34.470000000000006,sub1,variegated
312,299.3666666666666,sub1,variegated
40,31.46666666666667,sub1,variegated
155,101.56666666666665,sub1,variegated
25,22.693333333333328,sub1,variegated
60,72.01000000000002,sub1,variegated
155,164.3,sub1,variegated
60,50.44,sub1,variegated
242,211.7,sub1,variegated
60,54.333333333333336,sub1,variegated
40,35.54333333333332,sub1,variegated
25,25.16,sub1,variegated
281,329.8,sub1,variegated
155,149.2333333333333,sub1,variegated
60,47.95,sub1,variegated
199,151.69999999999996,sub1,variegated
89,67.19333333333333,sub1,variegated
120,139.7666666666667,sub1,variegated
312,354.1,sub1,variegated
120,167.5333333333333,sub1,variegated
242,263.2666666666667,sub1,variegated
199,154.2333333333333,sub1,variegated
25,19.65333333333333,sub1,variegated
120,185.8,sub1,variegated
25,17.533333333333335,sub1,variegated
155,146.9333333333333,sub1,variegated
312,358.2666666666666,sub1,homogeneous
89,105.66666666666669,sub1,homogeneous
60,51.81,sub1,homogeneous
25,19.65333333333333,sub1,homogeneous
60,46.78333333333332,sub1,homogeneous
242,256.9333333333333,sub1,homogeneous
89,91.99,sub1,homogeneous
242,253.2666666666667,sub1,homogeneous
242,266.7333333333333,sub1,homogeneous
312,362.3,sub1,homogeneous
40,27.80333333333333,sub1,homogeneous
281,322.2,sub1,homogeneous
120,111.36666666666669,sub1,homogeneous
89,84.96333333333331,sub1,homogeneous
89,76.69666666666667,sub1,homogeneous
242,333.8666666666666,sub1,homogeneous
155,128.3666666666667,sub1,homogeneous
