"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.65138452505031,2.11503517029738,1.31106335611325
"S3",4.30889520173797,5.12259641297881,3.82518111060395
"S4",4.38882071195523,5.26699664815428,3.88532409067401
"S5",4.5070755333887,5.40186078625382,3.99438366340528
"S6",4.69442373845422,5.64922162713938,4.1324585506795
"S7",4.86966765325207,5.83886808530168,4.29587762961656
"S8",5.18449234463224,6.24895494248859,4.55268344400651
"S9",6.75810707186225,8.07413837004509,5.99062765612762
"S10",8.76488212012552,10.4412974500868,7.77214767432591
