"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.65478959712987,2.159353873868,1.28040898379851
"S3",4.55891105828689,5.35968466288128,4.0688087901251
"S4",5.00225208574485,5.88193760211994,4.4506969593637
"S5",5.41567736398572,6.36393863671285,4.83333985770094
"S6",5.82979877253191,6.86140294913452,5.20369492585709
"S7",6.29712629590864,7.42049588652153,5.63376348544775
"S8",7.0254587488413,8.27247041279169,6.29353430999356
"S9",8.8462881672233,10.3868163878819,7.99448934302179
"S10",9.89190413248045,11.6341290567378,8.93227283674468
