"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.29010375826748,1.78528650149375,0.891968002014715
"S3",2.15990440850209,2.83963130951871,1.68595802030961
"S4",3.06775882603945,3.88597030400864,2.48725680021798
"S5",5.66147535073409,6.94858285535894,4.83719771386983
"S6",6.6493888855234,8.17850833891416,5.66995410189767
"S7",7.20833574162147,8.79912383319402,6.20594242008267
"S8",7.44674839378788,9.11752594949579,6.39706926628028
"S9",7.8444698177806,9.60116142008578,6.75227187156307
"S10",8.17939447501793,10.098356204161,6.98314168336558
