"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.67731431444495,2.37256232734991,1.20267950908554
"S3",2.9948038512054,3.9030512824124,2.41267155436543
"S4",6.08523358117391,7.5143252458436,5.30455894827615
"S5",7.18507771577104,8.79172726243833,6.2784295535268
"S6",7.75651405648336,9.47816955933511,6.77562317288981
"S7",8.22336748975153,10.057332300148,7.23189935644467
"S8",8.83358406810444,10.7277257452494,7.75925228014801
"S9",9.14632204738687,11.1149037660054,8.01172303382479
"S10",9.54871086440157,11.6675388526719,8.37327895589072
