"","pscale","high_boot","low_boot"
"",0,0,0
"S2",0.7171182320938,1.20151537414989,0.142530837492839
"S3",0.592615230614687,0.875480025413656,-3.69119382860497
"S4",9.02212417708027,8.00501251311995,6.52124871672236
"S5",9.16497342660948,8.30005701032836,6.54383004080619
"S6",9.42692766029998,8.65787924242928,6.73326491600384
"S7",9.57396958477381,8.86225488071243,6.85635039345277
"S8",9.72299383308918,9.11011621703329,6.94236341735098
"S9",9.8275664638935,9.31255281410657,6.97425392688336
"S10",9.75531424460388,9.3169207077446,6.79066172803977
