"","pscale","high_boot","low_boot"
"",0,0,0
"S2",3.58238790386931,8.69380975122889,2.95528714241672
"S3",5.14387797943799,12.0356869281035,4.38089384600408
"S4",9.29845612533341,22.7957346779874,8.0606241383191
"S5",9.7134665935456,23.3015426027824,8.41914091229823
"S6",10.3297036637084,23.9560234224656,8.96289267734661
"S7",10.6978859000713,24.400052860696,9.27114120879338
"S8",11.0693946867357,24.7945750389792,9.61728617072157
"S9",11.3694867885884,25.1203324933689,9.8779877674167
"S10",11.7708123107763,25.6071906932718,10.2656093756335
