"","pscale","high_boot","low_boot"
"",0,0,0
"S2",2.68228039229994,3.46545527407555,2.20043842232333
"S3",4.52138692472281,5.50671858648532,3.91087767073046
"S4",6.89461264869442,8.29934259878624,6.0346758035302
"S5",8.54510915955536,10.2282563451692,7.55351344309706
"S6",9.35523649840308,11.1625825089421,8.24261129859243
"S7",9.8164613686971,11.75060532531,8.69090322673149
"S8",10.2550279992571,12.2145025913868,9.08879865309108
"S9",10.7598573453474,12.8622165778343,9.59368415458186
"S10",11.105292420671,13.2848785130173,9.78135808853886
