"","pscale","high_boot","low_boot"
"",0,0,0
"S2",3.48508429387047,4.02397625871374,3.0717442644609
"S3",4.81152611787141,5.54894331643985,4.3165192515319
"S4",5.76328626553411,6.62529204814315,5.18570537826187
"S5",6.45579076109915,7.37786638703263,5.81592814800274
"S6",7.17643963597375,8.18267653192025,6.47711933953237
"S7",7.95372671669396,9.02412235452155,7.18705086813257
"S8",8.41914549939193,9.59774069259636,7.6125518930031
"S9",8.9949440202494,10.2309603968185,8.12948090338799
"S10",9.65373074396664,10.970053384176,8.72365053971753
