lum,pscale,CE
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
1,0.0,yes
5,0.1316193514760189,yes
5,0.14719297506049084,yes
5,0.15704750624652222,yes
5,0.15765639784392488,yes
5,0.1492077375953833,yes
5,0.1490061622150844,yes
5,0.15086912478826214,yes
5,0.16221830660314102,yes
5,0.13711504831848076,yes
5,0.16466940416780212,yes
5,0.16284440239684989,yes
5,0.19327433036451075,yes
5,0.17205158839440382,yes
5,0.12313688054437816,yes
5,0.1560967256009006,yes
5,0.15355976676256475,yes
5,0.16625892597992464,yes
5,0.17493641263713067,yes
5,0.1332178195772806,yes
5,0.20958813366677848,yes
5,0.13880324605059746,yes
5,0.15323990364121245,yes
5,0.17623688463871875,yes
5,0.15409835278573783,yes
5,0.16636779775694013,yes
5,0.1334919259568352,yes
5,0.1371135415992259,yes
5,0.12947307456158075,yes
5,0.17930758671054742,yes
5,0.15450127354550092,yes
5,0.15856018379092776,yes
5,0.1583700069683166,yes
5,0.14941333465250867,yes
5,0.1485620558640315,yes
5,0.1782977103825515,yes
5,0.18217922472631362,yes
5,0.1706855558327324,yes
