lum,pscale,CE
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
5,0.10465407828827471,yes
5,0.04897287077624014,yes
5,0.10179505833465664,yes
5,0.02682976892862877,yes
5,0.23691928194246947,yes
5,0.2427164583025147,yes
5,0.2382672461310512,yes
5,0.23431816004885947,yes
5,0.07013410298246947,yes
5,0.100196870378003,yes
5,0.07349429450506177,yes
5,0.1024388639410985,yes
5,0.344780996387642,yes
5,0.2326272429054639,yes
5,0.13371445205924437,yes
5,0.10225815245193062,yes
5,0.07457301938995553,yes
5,0.34791720181787994,yes
5,0.2406388521994537,yes
5,0.24563393847440862,yes
5,0.12654042639891896,yes
5,0.23713236119573364,yes
5,0.2279291960144551,yes
5,0.07139316395594626,yes
5,0.1029869109138654,yes
5,0.2319601059199677,yes
5,0.048336383596122454,yes
5,0.11484877313200643,yes
5,0.04722902964618586,yes
5,0.3502709143614851,yes
5,0.07084775048277554,yes
5,0.2378437483956615,yes
5,0.10156159878313212,yes
5,0.07272845774919434,yes
5,0.13345245884394374,yes
5,0.22707065130207274,yes
5,0.07407236410680704,yes
5,0.1279328877148099,yes
5,0.043422571914541484,yes
5,0.07351052094405586,yes
5,0.011267628467276886,yes
5,0.07282611287492957,yes
5,0.23669065823931842,yes
5,0.22418381671374343,yes
5,0.13783470025576963,yes
5,0.06622744024582997,yes
5,0.04554598370666518,yes
5,0.07012287396469709,yes
5,0.07016002438745882,yes
5,0.04965122526401942,yes
5,0.10036595526411551,yes
5,0.23804003031992188,yes
5,0.13907628672879804,yes
5,0.06969068303187179,yes
5,0.10215295305258555,yes
5,0.18911937508671126,yes
5,0.13806111947010108,yes
5,0.06976621673478643,yes
5,0.0983597645012269,yes
5,0.07343625676267615,yes
5,0.07149455505560808,yes
5,0.07143381333307466,yes
5,0.11419379624499679,yes
5,0.04902312329976551,yes
5,0.2452937203720018,yes
5,0.102966700601948,yes
5,0.22738108125967657,yes
5,0.1269278125053815,yes
5,0.23867932898115712,yes
5,0.3463597560674215,yes
5,0.24871469187769168,yes
5,0.07006558808320171,yes
5,0.1332059578844908,yes
5,0.23570467463608352,yes
5,0.09972200542431235,yes
5,0.07046788133045868,yes
5,0.10758633320279153,yes
5,0.02880608334371463,yes
5,0.10121856870825016,yes
5,0.23716493959183918,yes
5,0.04569640921797557,yes
5,0.3517334902076048,yes
5,0.10060054467547379,yes
5,0.1007687133736419,yes
5,0.10308188571759107,yes
5,0.08644084526159448,yes
5,0.10242141435868393,yes
5,0.06731996067350217,yes
5,0.24429841416469403,yes
5,0.2314086356576573,yes
5,0.2379598977904298,yes
5,0.3430547044792943,yes
5,0.09908760139686032,yes
5,0.10184837500559137,yes
