lum,pscale,CE
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
0,0.0,yes
5,0.21404333250781085,yes
5,0.22970846209630755,yes
5,0.20825541329514238,yes
5,0.1990732967965742,yes
5,0.20968091842058262,yes
5,0.22928587894876035,yes
5,0.2042261898484653,yes
5,0.21324536546496137,yes
5,0.23603185415485697,yes
5,0.2054498106968874,yes
5,0.23287028687089287,yes
5,0.23755250621122453,yes
5,0.2236895965862032,yes
5,0.2227615078555303,yes
5,0.2178053467459498,yes
5,0.20513877535394034,yes
5,0.22860567576257504,yes
5,0.23628260148477948,yes
5,0.21916849371684066,yes
5,0.2092769841542374,yes
5,0.21160502860978067,yes
5,0.21613440095185865,yes
5,0.22831705992786033,yes
5,0.2328379863516822,yes
5,0.2289907708016523,yes
5,0.19150206891096944,yes
5,0.19752623123157179,yes
5,0.22563218254794695,yes
5,0.2244936684129033,yes
5,0.21398828010953164,yes
5,0.19983590173303978,yes
5,0.2538054942979395,yes
5,0.22493614978340842,yes
5,0.21726021873741905,yes
5,0.22753222741211074,yes
5,0.19703167743383074,yes
5,0.2072830077468322,yes
5,0.24080301499146423,yes
5,0.20743955729357386,yes
5,0.19854804776347557,yes
5,0.21505832887753723,yes
5,0.22285070907872548,yes
5,0.19043945514459976,yes
5,0.20363427243023546,yes
5,0.22514171341813333,yes
5,0.23936665463191706,yes
5,0.2225491919373377,yes
5,0.2278991548158466,yes
5,0.21461737865510797,yes
5,0.20786548842747835,yes
5,0.2339082298879889,yes
5,0.2438515664135756,yes
5,0.22564487697613478,yes
5,0.23740524965735366,yes
5,0.23567592066202453,yes
5,0.21736723804310298,yes
5,0.24703896946463608,yes
5,0.20556926904619044,yes
5,0.2239400250790713,yes
5,0.21822019710015536,yes
5,0.2161893945043226,yes
5,0.22754017883320699,yes
5,0.21409131110335713,yes
5,0.20175933002173355,yes
5,0.1990446844703577,yes
5,0.2169394713944075,yes
5,0.21332561041136633,yes
5,0.19105990134975956,yes
5,0.23858739826899786,yes
5,0.216631739692854,yes
5,0.20419784424588008,yes
5,0.22543586576253064,yes
5,0.222120840828318,yes
5,0.20824488872269345,yes
5,0.2334069938368985,yes
5,0.21763598862257302,yes
5,0.21436357690588534,yes
5,0.2067419463621555,yes
5,0.19956156535677405,yes
5,0.2007087227794875,yes
5,0.21546166812432294,yes
5,0.22641578675636137,yes
5,0.23013792433647712,yes
5,0.22406295239241672,yes
5,0.2173481689629295,yes
5,0.20654566673309208,yes
5,0.21006155552390038,yes
5,0.21531472010335112,yes
5,0.2261264289233832,yes
5,0.20508221847034624,yes
5,0.22042420830014378,yes
5,0.21232836078390327,yes
5,0.21147804554476163,yes
5,0.21953825573016966,yes
