lum,pscale,CE
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
0.0,0.0,yes
7.2,0.27274550072427906,yes
7.2,0.2731079918949097,yes
7.2,0.2519908832130762,yes
7.2,0.29479914197249646,yes
7.2,0.28057472398545114,yes
7.2,0.2526836397194782,yes
7.2,0.2620499437297305,yes
7.2,0.29006898347927107,yes
7.2,0.27812251276241845,yes
7.2,0.2855091904327067,yes
7.2,0.2858905925736782,yes
7.2,0.26201973329149647,yes
7.2,0.2579730906602423,yes
7.2,0.2975895965945996,yes
7.2,0.2894653500119369,yes
7.2,0.27948460268982606,yes
7.2,0.28544303905623797,yes
7.2,0.26061860606071513,yes
7.2,0.25838921290760397,yes
7.2,0.27817621131934833,yes
7.2,0.2708240363833689,yes
7.2,0.2652130662294343,yes
7.2,0.28208336772253123,yes
7.2,0.26844426788649745,yes
7.2,0.27118092529233007,yes
7.2,0.2541468636196345,yes
7.2,0.2515919585111304,yes
7.2,0.2619220447977248,yes
7.2,0.3077382360834699,yes
7.2,0.23308042782503116,yes
7.2,0.2846254759868867,yes
7.2,0.280031856414701,yes
7.2,0.29992277083346996,yes
7.2,0.24931178091197265,yes
7.2,0.25701981239233596,yes
7.2,0.24343195764301964,yes
7.2,0.26696156076002764,yes
7.2,0.2523897489788248,yes
7.2,0.27991352051748297,yes
7.2,0.2789071787773738,yes
7.2,0.28289458386757643,yes
7.2,0.2819750907064342,yes
7.2,0.25027022639990637,yes
7.2,0.2746305860159364,yes
7.2,0.271304850073023,yes
7.2,0.2877552280877531,yes
7.2,0.2686058257492198,yes
7.2,0.28294053468401187,yes
7.2,0.2623579179301411,yes
7.2,0.2472598303146673,yes
7.2,0.2563386969916668,yes
7.2,0.3004376267551399,yes
7.2,0.2591533986242906,yes
7.2,0.24743456563573188,yes
7.2,0.2705919382373424,yes
7.2,0.2692160116360093,yes
7.2,0.2646897313540254,yes
7.2,0.26922480602367466,yes
7.2,0.2683411879596613,yes
7.2,0.2791765004979648,yes
7.2,0.27948629518035456,yes
7.2,0.2538096967979675,yes
7.2,0.26024097448399774,yes
7.2,0.2648901513242978,yes
7.2,0.2463559571779716,yes
7.2,0.2981737611844668,yes
7.2,0.2898579010734767,yes
7.2,0.28280247748004256,yes
7.2,0.27185214396450197,yes
7.2,0.2590382790313104,yes
7.2,0.2632118696077055,yes
7.2,0.275387117620233,yes
7.2,0.2579071720042213,yes
7.2,0.258946721238848,yes
7.2,0.241531721155513,yes
7.2,0.2706962447781117,yes
7.2,0.2802930173784914,yes
7.2,0.27996009764584007,yes
7.2,0.2605315110895972,yes
7.2,0.27060441573345584,yes
7.2,0.26572473524181434,yes
7.2,0.28576487421990926,yes
7.2,0.2663861268367461,yes
7.2,0.27693509870220057,yes
7.2,0.266620776232848,yes
7.2,0.272209531308225,yes
7.2,0.26643180012499196,yes
7.2,0.27055863037205696,yes
7.2,0.2563374969482538,yes
7.2,0.26479736007581384,yes
7.2,0.28703704115198647,yes
7.2,0.272949392547903,yes
7.2,0.274176950224986,yes
7.2,0.2559596905684627,yes
7.2,0.28166571234904236,yes
7.2,0.29915965019399193,yes
7.2,0.25693652684951956,yes
7.2,0.2720505760599785,yes
7.2,0.256909111216644,yes
7.2,0.25920094869193994,yes
14.4,0.415099504917613,yes
14.4,0.4183704871661683,yes
14.4,0.4219833380740975,yes
14.4,0.4331510253221357,yes
14.4,0.43227562814096215,yes
14.4,0.40566531688939156,yes
14.4,0.42790337300045506,yes
14.4,0.4204863553437104,yes
14.4,0.44289179795616956,yes
14.4,0.4182672134830821,yes
14.4,0.4133244056515995,yes
14.4,0.4181397013836423,yes
14.4,0.4167191741538722,yes
14.4,0.4351935658361638,yes
14.4,0.42437514057930886,yes
14.4,0.42470152927565885,yes
14.4,0.41951299130846426,yes
14.4,0.41579696481007933,yes
14.4,0.43100116802420324,yes
14.4,0.42775367400784997,yes
14.4,0.3987464362124371,yes
14.4,0.41100721991117395,yes
