spacing,lum,dist,CE
even,0.0,1.1102230246251565e-16,yes
even,7.2,0.000433078172331236,yes
even,14.4,0.0005190790242204368,yes
even,21.6,0.0014472122017911149,yes
even,28.8,0.0007373609396740255,yes
even,36.1,0.0009596967807542489,yes
even,43.3,0.0007206143751952165,yes
even,50.5,6.113827541576189e-05,yes
even,57.7,0.001199554101457223,yes
even,65.0,0.0,yes
even,0.0,1.3877787807814457e-17,no
even,7.2,0.002925726099727133,no
even,14.4,0.003162574990290934,no
even,21.6,0.0019232019765897945,no
even,28.8,0.000782324947130042,no
even,36.1,0.00020495712332979643,no
even,43.3,0.00023164051164259458,no
even,50.5,0.00014895167868889114,no
even,57.7,2.6870758233377146e-05,no
even,65.0,0.0,no
centbg,1.0,0.06915208330550648,yes
centbg,5.0,0.05855286855536948,yes
centbg,18.0,0.035451808523109196,yes
centbg,19.0,0.03313424274740229,yes
centbg,20.0,0.031027676896182577,yes
centbg,21.0,0.028150120810425894,yes
centbg,22.0,0.02521806306455554,yes
centbg,25.0,0.01854758280977642,yes
centbg,40.0,0.005633911089643173,yes
centbg,65.0,0.0,yes
centbg,1.0,0.15056747608972154,no
centbg,5.0,0.12326065934481412,no
centbg,18.0,0.07829050840440926,no
centbg,19.0,0.07639721908341429,no
centbg,20.0,0.0737957928995654,no
centbg,21.0,0.07077586326647867,no
centbg,22.0,0.0693853350936432,no
centbg,25.0,0.06225864418777638,no
centbg,40.0,0.03530311749986614,no
centbg,65.0,0.0,no
coarse,0.0,1.1102230246251565e-16,yes
coarse,5.0,0.069372127264139,yes
coarse,10.0,0.19115946866336064,yes
coarse,35.0,0.04544359460686043,yes
coarse,40.0,0.03377458379565035,yes
coarse,45.0,0.02479930440082767,yes
coarse,50.0,0.016202665501825475,yes
coarse,55.0,0.009982632152972792,yes
coarse,60.0,0.005194555728415873,yes
coarse,65.0,0.0,yes
coarse,0.0,1.3877787807814457e-17,no
coarse,5.0,0.0023174639043440637,no
coarse,10.0,0.000729517886545461,no
coarse,35.0,0.0015054318742582229,no
coarse,40.0,0.0007551793429199094,no
coarse,45.0,0.0003763657590826197,no
coarse,50.0,0.00022745476297714173,no
coarse,55.0,5.033739084003841e-05,no
coarse,60.0,0.001555433383221061,no
coarse,65.0,0.0,no
coarse1,1.0,0.06915208330550648,yes
coarse1,5.0,0.05767221430734129,yes
coarse1,10.0,0.04866815539809427,yes
coarse1,15.0,0.0424616023537121,yes
coarse1,25.0,0.020908294415833084,yes
coarse1,34.0,0.010740622338794803,yes
coarse1,40.0,0.006944212046595122,yes
coarse1,46.0,0.005086092763278316,yes
coarse1,55.0,0.00110527887749301,yes
coarse1,65.0,0.0,yes
coarse1,1.0,0.15056747608972154,no
coarse1,5.0,0.12223306893382105,no
coarse1,10.0,0.10111670641763099,no
coarse1,15.0,0.08703332208186093,no
coarse1,25.0,0.0631336849788331,no
coarse1,34.0,0.04658279994856629,no
coarse1,40.0,0.0375827715327639,no
coarse1,46.0,0.025818060867840886,no
coarse1,55.0,0.01388551898689272,no
coarse1,65.0,0.0,no
coarse2,1.0,0.06915208330550648,yes
coarse2,5.0,0.12340749616035661,yes
coarse2,10.0,0.17698239599316876,yes
coarse2,30.0,0.04707125939352996,yes
coarse2,40.0,0.027146378252177583,yes
coarse2,45.0,0.020773493559741563,yes
coarse2,50.0,0.015477616186340803,yes
coarse2,55.0,0.010249968439408286,yes
coarse2,60.0,0.006909816845500405,yes
coarse2,65.0,0.0,yes
coarse2,1.0,0.15056747608972154,no
coarse2,5.0,0.12411308644511196,no
coarse2,10.0,0.10109986805138049,no
coarse2,30.0,0.05018642071026114,no
coarse2,40.0,0.0337109660908661,no
coarse2,45.0,0.025107126336684438,no
coarse2,50.0,0.01836203794783242,no
coarse2,55.0,0.010450798206697587,no
coarse2,60.0,0.005178405033179678,no
coarse2,65.0,0.0,no
coarse3,0.0,1.1102230246251565e-16,yes
coarse3,5.0,0.001344621408203156,yes
coarse3,10.0,0.0006855412987689657,yes
coarse3,15.0,0.00041987025240736164,yes
coarse3,20.0,0.0006187338097531914,yes
coarse3,35.0,0.0012014275958334153,yes
coarse3,45.0,0.0003238486168979371,yes
coarse3,50.0,0.0013725101882424706,yes
coarse3,55.0,0.0006321361575637452,yes
coarse3,65.0,0.0,yes
coarse3,0.0,1.3877787807814457e-17,no
coarse3,5.0,0.0007517294095759075,no
coarse3,10.0,0.0006177713128027729,no
coarse3,15.0,0.0005843760510498841,no
coarse3,20.0,0.0003148962917067788,no
coarse3,35.0,0.0008459969955699753,no
coarse3,45.0,0.00040100762422135006,no
coarse3,50.0,0.0009933908704397032,no
coarse3,55.0,0.0003631835305516473,no
coarse3,65.0,0.0,no
