tar_lum,mat_lum,target_bg,match_bg,spacing
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0006500065000650005,gray,gray,even
0.0,0.010400104001040009,gray,gray,even
0.0,0.005850058500585007,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.007150071500715006,gray,gray,even
0.0,0.022100221002210024,gray,gray,even
0.0,0.0006500065000650005,gray,gray,even
0.0,0.04745047450474505,gray,gray,even
0.0,0.039000390003900036,gray,gray,even
0.0,0.004550045500455005,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0006500065000650005,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.01885018850188502,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.001300013000130001,gray,gray,even
0.0,0.003900039000390004,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.026650266502665027,gray,gray,even
0.0,0.009750097500975007,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.005200052000520004,gray,gray,even
0.0,0.001300013000130001,gray,gray,even
0.0,0.006500065000650006,gray,gray,even
0.0,0.001950019500195002,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.002600026000260002,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.04095040950409504,gray,gray,even
0.0,0.024700247002470026,gray,gray,even
0.0,0.028600286002860024,gray,gray,even
0.0,0.009750097500975007,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.007800078000780008,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0006500065000650005,gray,gray,even
0.0,0.015600156001560016,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.001950019500195002,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.045500455004550036,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.005200052000520004,gray,gray,even
0.0,0.003900039000390004,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.054600546005460056,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.005850058500585007,gray,gray,even
0.0,0.001300013000130001,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.007150071500715006,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.024050240502405024,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0006500065000650005,gray,gray,even
0.0,0.007800078000780008,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.001950019500195002,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0006500065000650005,gray,gray,even
0.0,0.001300013000130001,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.0,gray,gray,even
0.0,0.001950019500195002,gray,gray,even
0.0,0.003900039000390004,gray,gray,even
0.0,0.007150071500715006,gray,gray,even
0.0,0.0,gray,gray,even
7.2,3.6939869398693994,gray,gray,even
7.2,3.2714827148271484,gray,gray,even
7.2,3.4742847428474284,gray,gray,even
7.2,2.945829458294583,gray,gray,even
7.2,2.650076500765008,gray,gray,even
7.2,2.8457284572845727,gray,gray,even
7.2,3.004330043300433,gray,gray,even
7.2,3.313733137331373,gray,gray,even
7.2,3.3982339823398235,gray,gray,even
7.2,3.671236712367124,gray,gray,even
7.2,3.162931629316293,gray,gray,even
7.2,3.064130641306413,gray,gray,even
7.2,3.7557375573755736,gray,gray,even
7.2,4.204242042420423,gray,gray,even
7.2,4.065790657906579,gray,gray,even
7.2,3.606886068860689,gray,gray,even
7.2,2.9048790487904883,gray,gray,even
7.2,4.097640976409764,gray,gray,even
7.2,4.449944499444994,gray,gray,even
7.2,3.793437934379344,gray,gray,even
7.2,4.8314983149831505,gray,gray,even
7.2,4.71579715797158,gray,gray,even
7.2,4.002090020900209,gray,gray,even
7.2,2.608476084760848,gray,gray,even
7.2,3.8064380643806435,gray,gray,even
7.2,3.5295352953529537,gray,gray,even
7.2,4.397293972939728,gray,gray,even
7.2,3.3631336313363134,gray,gray,even
7.2,3.247432474324744,gray,gray,even
7.2,2.826878268782688,gray,gray,even
7.2,3.8486884868848685,gray,gray,even
7.2,3.9799897998979987,gray,gray,even
7.2,3.4229342293422933,gray,gray,even
7.2,3.631586315863159,gray,gray,even
7.2,4.534445344453443,gray,gray,even
7.2,4.184091840918408,gray,gray,even
7.2,2.965979659796598,gray,gray,even
7.2,3.294882948829488,gray,gray,even
7.2,4.0319903199032,gray,gray,even
7.2,3.834388343883439,gray,gray,even
7.2,4.085290852908529,gray,gray,even
7.2,3.8733887338873383,gray,gray,even
7.2,3.4729847298472984,gray,gray,even
7.2,3.9149891498914986,gray,gray,even
7.2,2.7020770207702083,gray,gray,even
7.2,3.1544815448154484,gray,gray,even
7.2,3.5529355293552936,gray,gray,even
7.2,4.749597495974959,gray,gray,even
7.2,4.505845058450585,gray,gray,even
7.2,4.563045630456305,gray,gray,even
7.2,4.176941769417693,gray,gray,even
7.2,2.419974199741997,gray,gray,even
7.2,3.014080140801408,gray,gray,even
7.2,4.132091320913209,gray,gray,even
7.2,3.6367863678636794,gray,gray,even
7.2,3.3962839628396284,gray,gray,even
7.2,3.780437804378044,gray,gray,even
7.2,4.330343303433033,gray,gray,even
7.2,3.3059330593305933,gray,gray,even
7.2,3.8766387663876634,gray,gray,even
7.2,3.138231382313823,gray,gray,even
7.2,4.808098080980809,gray,gray,even
7.2,2.8307783077830777,gray,gray,even
7.2,2.9594795947959485,gray,gray,even
7.2,2.8353283532835327,gray,gray,even
7.2,4.051490514905149,gray,gray,even
7.2,3.9929899298992986,gray,gray,even
7.2,3.5886858868588685,gray,gray,even
7.2,4.917949179491795,gray,gray,even
7.2,3.5854358543585434,gray,gray,even
7.2,4.0709907099070985,gray,gray,even
7.2,3.8187881878818786,gray,gray,even
7.2,3.6517365173651735,gray,gray,even
7.2,2.432324323243233,gray,gray,even
7.2,2.7599275992759926,gray,gray,even
7.2,2.897078970789708,gray,gray,even
7.2,4.115191151911518,gray,gray,even
7.2,3.1765817658176583,gray,gray,even
7.2,3.6016860168601688,gray,gray,even
7.2,4.49479494794948,gray,gray,even
7.2,3.689436894368944,gray,gray,even
7.2,3.197381973819738,gray,gray,even
7.2,3.3345333453334534,gray,gray,even
7.2,3.725187251872519,gray,gray,even
7.2,4.135991359913599,gray,gray,even
7.2,3.382633826338264,gray,gray,even
7.2,3.8935389353893535,gray,gray,even
7.2,2.7397773977739783,gray,gray,even
7.2,3.730387303873039,gray,gray,even
7.2,3.822038220382204,gray,gray,even
7.2,3.108331083310833,gray,gray,even
7.2,3.6387363873638736,gray,gray,even
7.2,3.207132071320713,gray,gray,even
7.2,2.2340723407234067,gray,gray,even
7.2,3.4359343593435936,gray,gray,even
7.2,3.6016860168601688,gray,gray,even
7.2,3.865588655886559,gray,gray,even
7.2,3.9884398843988436,gray,gray,even
7.2,4.101541015410154,gray,gray,even
7.2,2.8827788277882784,gray,gray,even
14.4,9.690946909469094,gray,gray,even
14.4,8.96618966189662,gray,gray,even
14.4,9.317193171931722,gray,gray,even
14.4,8.396133961339611,gray,gray,even
14.4,7.866378663786638,gray,gray,even
14.4,8.218032180321803,gray,gray,even
14.4,8.498834988349884,gray,gray,even
14.4,9.039640396403962,gray,gray,even
14.4,9.186541865418654,gray,gray,even
14.4,9.651946519465195,gray,gray,even
14.4,8.778337783377834,gray,gray,even
14.4,8.604786047860479,gray,gray,even
14.4,9.795597955979561,gray,gray,even
14.4,10.545055450554504,gray,gray,even
14.4,10.31560315603156,gray,gray,even
14.4,9.542745427454275,gray,gray,even
14.4,8.323983239832398,gray,gray,even
14.4,10.368253682536825,gray,gray,even
14.4,10.948059480594804,gray,gray,even
14.4,9.85929859298593,gray,gray,even
14.4,11.567515675156754,gray,gray,even
14.4,11.38161381613816,gray,gray,even
14.4,10.2090020900209,gray,gray,even
14.4,7.790327903279032,gray,gray,even
14.4,9.881398813988142,gray,gray,even
14.4,9.410794107941081,gray,gray,even
14.4,10.862908629086292,gray,gray,even
14.4,9.125441254412543,gray,gray,even
14.4,8.925239252392524,gray,gray,even
14.4,8.184881848818486,gray,gray,even
14.4,9.952249522495224,gray,gray,even
14.4,10.171951719517196,gray,gray,even
14.4,9.22879228792288,gray,gray,even
14.4,9.5849958499585,gray,gray,even
14.4,11.086510865108652,gray,gray,even
14.4,10.51060510605106,gray,gray,even
14.4,8.431234312343124,gray,gray,even
14.4,9.007140071400713,gray,gray,even
14.4,10.259052590525906,gray,gray,even
14.4,9.927549275492757,gray,gray,even
14.4,10.347453474534747,gray,gray,even
14.4,9.99319993199932,gray,gray,even
14.4,9.314593145931461,gray,gray,even
14.4,10.064050640506405,gray,gray,even
14.4,7.9599795997959975,gray,gray,even
14.4,8.763387633876338,gray,gray,even
14.4,9.45109451094511,gray,gray,even
14.4,11.435564355643553,gray,gray,even
14.4,11.040360403604037,gray,gray,even
14.4,11.132661326613267,gray,gray,even
14.4,10.499554995549957,gray,gray,even
14.4,7.445174451744517,gray,gray,even
14.4,8.516385163851638,gray,gray,even
14.4,10.425454254542542,gray,gray,even
14.4,9.594095940959411,gray,gray,even
14.4,9.182641826418264,gray,gray,even
14.4,9.837198371983721,gray,gray,even
14.4,10.752407524075242,gray,gray,even
14.4,9.0259902599026,gray,gray,even
14.4,9.99969999699997,gray,gray,even
14.4,8.734787347873478,gray,gray,even
14.4,11.52981529815298,gray,gray,even
14.4,8.191381913819137,gray,gray,even
14.4,8.420834208342084,gray,gray,even
14.4,8.199831998319983,gray,gray,even
14.4,10.290902909029091,gray,gray,even
14.4,10.194051940519405,gray,gray,even
14.4,9.51219512195122,gray,gray,even
14.4,11.70661706617066,gray,gray,even
14.4,9.5069950699507,gray,gray,even
14.4,10.324053240532406,gray,gray,even
14.4,9.901549015490154,gray,gray,even
14.4,9.619446194461943,gray,gray,even
14.4,7.467274672746727,gray,gray,even
14.4,8.063980639806399,gray,gray,even
14.4,8.309683096830968,gray,gray,even
14.4,10.396853968539684,gray,gray,even
14.4,8.80108801088011,gray,gray,even
14.4,9.53429534295343,gray,gray,even
14.4,11.02151021510215,gray,gray,even
14.4,9.683146831468317,gray,gray,even
14.4,8.838138381383814,gray,gray,even
14.4,9.076040760407604,gray,gray,even
14.4,9.744247442474423,gray,gray,even
14.4,10.43130431304313,gray,gray,even
14.4,9.159891598915989,gray,gray,even
14.4,10.027000270002699,gray,gray,even
14.4,8.028230282302824,gray,gray,even
14.4,9.75269752697527,gray,gray,even
14.4,9.906749067490676,gray,gray,even
14.4,8.682786827868277,gray,gray,even
14.4,9.597345973459737,gray,gray,even
14.4,8.854388543885436,gray,gray,even
14.4,7.098720987209872,gray,gray,even
14.4,9.250892508925087,gray,gray,even
14.4,9.53429534295343,gray,gray,even
14.4,9.980849808498084,gray,gray,even
14.4,10.185601856018561,gray,gray,even
14.4,10.37410374103741,gray,gray,even
14.4,8.283682836828369,gray,gray,even
21.6,23.584185841858417,gray,gray,even
21.6,22.39727397273973,gray,gray,even
21.6,22.973829738297386,gray,gray,even
21.6,21.450864508645086,gray,gray,even
21.6,20.561005610056103,gray,gray,even
21.6,21.153161531615318,gray,gray,even
21.6,21.62311623116231,gray,gray,even
21.6,22.51817518175182,gray,gray,even
21.6,22.759327593275927,gray,gray,even
21.6,23.52048520485205,gray,gray,even
21.6,22.086570865708662,gray,gray,even
21.6,21.798617986179863,gray,gray,even
21.6,23.75318753187532,gray,gray,even
21.6,24.961549615496157,gray,gray,even
21.6,24.5929959299593,gray,gray,even
21.6,23.3430334303343,gray,gray,even
21.6,21.33061330613306,gray,gray,even
21.6,24.678796787967876,gray,gray,even
21.6,25.605056050560503,gray,gray,even
21.6,23.857188571885718,gray,gray,even
21.6,26.585915859158593,gray,gray,even
21.6,26.292112921129213,gray,gray,even
21.6,24.422694226942266,gray,gray,even
21.6,20.432954329543296,gray,gray,even
21.6,23.892288922889232,gray,gray,even
21.6,23.127231272312727,gray,gray,even
21.6,25.469204692046922,gray,gray,even
21.6,22.659226592265924,gray,gray,even
21.6,22.330323303233037,gray,gray,even
21.6,21.097260972609728,gray,gray,even
21.6,24.0079900799008,gray,gray,even
21.6,24.362243622436228,gray,gray,even
21.6,22.828878288782892,gray,gray,even
21.6,23.411934119341197,gray,gray,even
21.6,25.825408254082536,gray,gray,even
21.6,24.90694906949069,gray,gray,even
21.6,21.510015100151,gray,gray,even
21.6,22.46422464224642,gray,gray,even
21.6,24.50329503295033,gray,gray,even
21.6,23.967689676896768,gray,gray,even
21.6,24.6449964499645,gray,gray,even
21.6,24.073640736407363,gray,gray,even
21.6,22.969929699296994,gray,gray,even
21.6,24.188041880418805,gray,gray,even
21.6,20.719607196071962,gray,gray,even
21.6,22.06252062520625,gray,gray,even
21.6,23.193531935319356,gray,gray,even
21.6,26.37791377913779,gray,gray,even
21.6,25.7519575195752,gray,gray,even
21.6,25.89820898208982,gray,gray,even
21.6,24.888748887488877,gray,gray,even
21.6,19.845348453484537,gray,gray,even
21.6,21.652366523665236,gray,gray,even
21.6,24.76979769797698,gray,gray,even
21.6,23.426234262342625,gray,gray,even
21.6,22.752827528275287,gray,gray,even
21.6,23.821438214382145,gray,gray,even
21.6,25.293702937029373,gray,gray,even
21.6,22.496074960749606,gray,gray,even
21.6,24.084040840408395,gray,gray,even
21.6,22.015070150701508,gray,gray,even
21.6,26.52611526115261,gray,gray,even
21.6,21.108961089610894,gray,gray,even
21.6,21.492464924649248,gray,gray,even
21.6,21.123261232612325,gray,gray,even
21.6,24.554645546455465,gray,gray,even
21.6,24.3979939799398,gray,gray,even
21.6,23.292332923329234,gray,gray,even
21.6,26.804968049680497,gray,gray,even
21.6,23.283882838828386,gray,gray,even
21.6,24.60729607296073,gray,gray,even
21.6,23.925439254392547,gray,gray,even
21.6,23.467834678346787,gray,gray,even
21.6,19.88369883698837,gray,gray,even
21.6,20.89510895108951,gray,gray,even
21.6,21.30656306563065,gray,gray,even
21.6,24.72429724297243,gray,gray,even
21.6,22.124921249212488,gray,gray,even
21.6,23.328733287332874,gray,gray,even
21.6,25.72205722057221,gray,gray,even
21.6,23.571185711857122,gray,gray,even
21.6,22.185371853718532,gray,gray,even
21.6,22.5779757797578,gray,gray,even
21.6,23.669986699867,gray,gray,even
21.6,24.779547795477963,gray,gray,even
21.6,22.715777157771573,gray,gray,even
21.6,24.128891288912893,gray,gray,even
21.6,20.83465834658347,gray,gray,even
21.6,23.684286842868428,gray,gray,even
21.6,23.93388933889339,gray,gray,even
21.6,21.927969279692803,gray,gray,even
21.6,23.43208432084321,gray,gray,even
21.6,22.21267212672127,gray,gray,even
21.6,19.25059250592506,gray,gray,even
21.6,22.865278652786532,gray,gray,even
21.6,23.32808328083281,gray,gray,even
21.6,24.053490534905354,gray,gray,even
21.6,24.384343843438433,gray,gray,even
21.6,24.687896878968786,gray,gray,even
21.6,21.263662636626368,gray,gray,even
28.8,37.99287992879929,gray,gray,even
28.8,36.449114491144904,gray,gray,even
28.8,37.19987199871999,gray,gray,even
28.8,35.21150211502115,gray,gray,even
28.8,34.041490414904146,gray,gray,even
28.8,34.820198201982016,gray,gray,even
28.8,35.43640436404364,gray,gray,even
28.8,36.60641606416064,gray,gray,even
28.8,36.92101921019211,gray,gray,even
28.8,37.91032910329103,gray,gray,even
28.8,36.04351043510435,gray,gray,even
28.8,35.66650666506665,gray,gray,even
28.8,38.21258212582126,gray,gray,even
28.8,39.77519775197752,gray,gray,even
28.8,39.300043000429994,gray,gray,even
28.8,37.68022680226802,gray,gray,even
28.8,35.05290052900529,gray,gray,even
28.8,39.409894098940995,gray,gray,even
28.8,40.60460604606046,gray,gray,even
28.8,38.34713347133472,gray,gray,even
28.8,41.86366863668637,gray,gray,even
28.8,41.486664866648674,gray,gray,even
28.8,39.0790407904079,gray,gray,even
28.8,33.873138731387314,gray,gray,even
28.8,38.39263392633927,gray,gray,even
28.8,37.39942399423994,gray,gray,even
28.8,40.429104291042904,gray,gray,even
28.8,36.790367903679034,gray,gray,even
28.8,36.36071360713607,gray,gray,even
28.8,34.747397473974736,gray,gray,even
28.8,38.54213542135421,gray,gray,even
28.8,39.0010400104001,gray,gray,even
28.8,37.01137011370114,gray,gray,even
28.8,37.769277692776924,gray,gray,even
28.8,40.887358873588745,gray,gray,even
28.8,39.704347043470435,gray,gray,even
28.8,35.28820288202882,gray,gray,even
28.8,36.53621536215362,gray,gray,even
28.8,39.183041830418304,gray,gray,even
28.8,38.490784907849076,gray,gray,even
28.8,39.366343663436645,gray,gray,even
28.8,38.627286272862726,gray,gray,even
28.8,37.19467194671947,gray,gray,even
28.8,38.775487754877545,gray,gray,even
28.8,34.25014250142502,gray,gray,even
28.8,36.011660116601156,gray,gray,even
28.8,37.48522485224853,gray,gray,even
28.8,41.59651596515965,gray,gray,even
28.8,40.792457924579246,gray,gray,even
28.8,40.980959809598104,gray,gray,even
28.8,39.681596815968156,gray,gray,even
28.8,33.0970309703097,gray,gray,even
28.8,35.47475474754748,gray,gray,even
28.8,39.52754527545275,gray,gray,even
28.8,37.78812788127881,gray,gray,even
28.8,36.912569125691256,gray,gray,even
28.8,38.300983009830105,gray,gray,even
