tar_lum,mat_lum,bg_tar,bg_mat
0.0,0.009750097500975009,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.08775087750877508,gray,gray
0.0,0.0,gray,gray
0.0,0.11050110501105011,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.025350253502535024,gray,gray
0.0,0.1072510725107251,gray,gray
0.0,0.0,gray,gray
0.0,0.0026000260002600026,gray,gray
0.0,0.0,gray,gray
0.0,0.08320083200832008,gray,gray
0.0,0.04160041600416004,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.003900039000390004,gray,gray
0.0,0.016900169001690016,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.026000260002600025,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.039000390003900036,gray,gray
0.0,0.0,gray,gray
0.0,0.1033510335103351,gray,gray
0.0,0.01885018850188502,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.02015020150201502,gray,gray
0.0,0.024700247002470026,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.004550045500455005,gray,gray
0.0,0.0,gray,gray
0.0,0.16640166401664017,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.04225042250422504,gray,gray
0.0,0.03835038350383504,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.006500065000650006,gray,gray
0.0,0.026000260002600025,gray,gray
0.0,0.22945229452294522,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.2138521385213852,gray,gray
0.0,0.009750097500975009,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.03380033800338003,gray,gray
0.0,0.0,gray,gray
0.0,0.07280072800728007,gray,gray
0.0,0.035100351003510034,gray,gray
0.0,0.005200052000520005,gray,gray
0.0,0.0,gray,gray
0.0,0.0006500065000650006,gray,gray
0.0,0.0,gray,gray
0.0,0.022100221002210024,gray,gray
0.0,0.1950019500195002,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.017550175501755017,gray,gray
0.0,0.0,gray,gray
0.0,0.037050370503705035,gray,gray
0.0,0.042900429004290044,gray,gray
0.0,0.08190081900819009,gray,gray
0.0,0.0,gray,gray
0.0,0.16445164451644517,gray,gray
0.0,0.006500065000650006,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.2756027560275603,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.08255082550825509,gray,gray
0.0,0.0,gray,gray
0.0,0.001950019500195002,gray,gray
0.0,0.0,gray,gray
0.0,0.0,gray,gray
0.0,0.02925029250292503,gray,gray
0.0,0.007150071500715007,gray,gray
0.0,0.0,gray,gray
0.0,0.03380033800338003,gray,gray
7.2,4.180191801918019,gray,gray
7.2,3.1765817658176583,gray,gray
7.2,2.5402254022540225,gray,gray
7.2,5.2579025790257905,gray,gray
7.2,3.023830238302383,gray,gray
7.2,5.460054600546005,gray,gray
7.2,2.6045760457604574,gray,gray
7.2,1.998769987699877,gray,gray
7.2,4.51689516895169,gray,gray
7.2,5.4321043210432105,gray,gray
7.2,2.4511745117451174,gray,gray
7.2,3.937739377393774,gray,gray
7.2,3.5210852108521085,gray,gray
7.2,5.2150021500215,gray,gray
7.2,4.756747567475675,gray,gray
7.2,3.3124331243312435,gray,gray
7.2,3.5535855358553587,gray,gray
7.2,3.982589825898259,gray,gray
7.2,4.351143511435114,gray,gray
7.2,3.5919359193591935,gray,gray
7.2,3.4918349183491837,gray,gray
7.2,1.884368843688437,gray,gray
7.2,4.522745227452274,gray,gray
7.2,2.8138781387813876,gray,gray
7.2,2.667626676266763,gray,gray
